,league_id,team_name,team_id,opponent_name,opponent_id,team_power,opponent_power,team_date,opponent_date,team_time,opponent_time,team_round,opponent_round,team_day,opponent_day,team_venue,opponent_venue,team_result,opponent_result,team_gf,opponent_gf,team_ga,opponent_ga,team_opponent,opponent_opponent,team_goals,opponent_goals,team_shots,opponent_shots,team_shots_on_target,opponent_shots_on_target,team_shots_on_target_percentage,opponent_shots_on_target_percentage,team_goals_per_shot,opponent_goals_per_shot,team_goals_per_shot_on_target,opponent_goals_per_shot_on_target,team_distance_covered,opponent_distance_covered,team_free_kicks,opponent_free_kicks,team_penalties,opponent_penalties,team_penalty_attempts,opponent_penalty_attempts,team_expected_goals,opponent_expected_goals,team_non-penalty_expected_goals,opponent_non-penalty_expected_goals,team_expected_goals_per_shot,opponent_expected_goals_per_shot,team_goals_minus_expected_goals,opponent_goals_minus_expected_goals,team_non-penalty_goals_minus_expected_goals,opponent_non-penalty_goals_minus_expected_goals,team_match_report,opponent_match_report,team_finishing,opponent_finishing
0,13,Manchester City,10,West Ham,19,85,79,2022-08-07,2022-08-07,16:30,16:30,Matchweek 1,Matchweek 1,Sun,Sun,Away,Home,W,L,2,0,0,2,West Ham,West Ham,2,0,13,6,1,1,7.7,16.7,0.08,0.0,1.0,0.0,18.7,16.3,1,0,1,0,1,0,2.2,0.5,1.4,0.5,0.11,0.08,-0.2,-0.5,-0.4,-0.5,Match Report,Match Report,82,77
1,13,Manchester City,10,Bournemouth,1943,85,74,2022-08-13,2022-08-13,15:00,15:00,Matchweek 2,Matchweek 2,Sat,Sat,Home,Away,W,L,4,0,0,4,Bournemouth,Bournemouth,3,0,19,3,7,1,36.8,33.3,0.16,0.0,0.43,0.0,17.5,20.6,0,0,0,0,0,0,1.7,0.1,1.7,0.1,0.09,0.04,1.3,-0.1,1.3,-0.1,Match Report,Match Report,82,70
2,13,Manchester City,10,Newcastle Utd,13,85,78,2022-08-21,2022-08-21,16:30,16:30,Matchweek 3,Matchweek 3,Sun,Sun,Away,Home,D,D,3,3,3,3,Newcastle Utd,Newcastle Utd,3,3,21,12,10,5,47.6,41.7,0.14,0.25,0.3,0.6,16.2,14.8,1,1,0,0,0,0,2.1,1.8,2.1,1.8,0.1,0.15,0.9,1.2,0.9,1.2,Match Report,Match Report,82,76
3,13,Manchester City,10,Crystal Palace,1799,85,76,2022-08-27,2022-08-27,15:00,15:00,Matchweek 4,Matchweek 4,Sat,Sat,Home,Away,W,L,4,2,2,4,Crystal Palace,Crystal Palace,4,1,18,2,5,2,27.8,100.0,0.22,0.5,0.8,0.5,14.1,20.6,0,0,0,0,0,0,2.2,0.1,2.2,0.1,0.13,0.06,1.8,0.9,1.8,0.9,Match Report,Match Report,82,70
4,13,Manchester City,10,Nott'ham Forest,14,85,76,2022-08-31,2022-08-31,19:30,19:30,Matchweek 5,Matchweek 5,Wed,Wed,Home,Away,W,L,6,0,0,6,Nott'ham Forest,Nott'ham Forest,6,0,17,8,9,1,52.9,12.5,0.35,0.0,0.67,0.0,14.8,18.4,0,1,0,0,0,0,3.3,0.7,3.3,0.7,0.2,0.08,2.7,-0.7,2.7,-0.7,Match Report,Match Report,82,73
5,13,Manchester City,10,Aston Villa,2,85,79,2022-09-03,2022-09-03,17:30,17:30,Matchweek 6,Matchweek 6,Sat,Sat,Away,Home,D,D,1,1,1,1,Aston Villa,Aston Villa,1,1,13,3,4,1,30.8,33.3,0.08,0.33,0.25,1.0,16.8,16.8,1,0,0,0,0,0,2.1,0.3,2.1,0.3,0.16,0.11,-1.1,0.7,-1.1,0.7,Match Report,Match Report,82,72
6,13,Manchester City,10,Wolves,110,85,78,2022-09-17,2022-09-17,12:30,12:30,Matchweek 8,Matchweek 8,Sat,Sat,Away,Home,W,L,3,0,0,3,Wolves,Wolves,3,0,16,6,7,1,43.8,16.7,0.19,0.0,0.43,0.0,19.4,19.6,0,2,0,0,0,0,1.1,0.4,1.1,0.4,0.07,0.07,1.9,-0.4,1.9,-0.4,Match Report,Match Report,82,73
7,13,Manchester City,10,Manchester Utd,11,85,82,2022-10-02,2022-10-02,14:00,14:00,Matchweek 9,Matchweek 9,Sun,Sun,Home,Away,W,L,6,3,3,6,Manchester Utd,Manchester Utd,6,3,22,11,9,7,40.9,63.6,0.27,0.18,0.67,0.29,14.2,22.2,1,0,0,1,0,1,3.2,1.7,3.2,0.9,0.15,0.08,2.8,1.3,2.8,1.1,Match Report,Match Report,82,81
8,13,Manchester City,10,Southampton,17,85,75,2022-10-08,2022-10-08,15:00,15:00,Matchweek 10,Matchweek 10,Sat,Sat,Home,Away,W,L,4,0,0,4,Southampton,Southampton,4,0,21,5,8,0,38.1,0.0,0.19,0.0,0.5,,13.9,28.1,0,0,0,0,0,0,2.4,0.2,2.4,0.2,0.12,0.03,1.6,-0.2,1.6,-0.2,Match Report,Match Report,82,70
9,13,Manchester City,10,Liverpool,9,85,84,2022-10-16,2022-10-16,16:30,16:30,Matchweek 11,Matchweek 11,Sun,Sun,Away,Home,L,W,0,1,1,0,Liverpool,Liverpool,0,1,16,13,6,2,37.5,15.4,0.0,0.08,0.0,0.5,18.4,17.5,0,0,0,0,0,0,1.0,2.1,1.0,2.1,0.06,0.16,-1.0,-1.1,-1.0,-1.1,Match Report,Match Report,82,79
10,13,Manchester City,10,Brighton,1808,85,75,2022-10-22,2022-10-22,15:00,15:00,Matchweek 13,Matchweek 13,Sat,Sat,Home,Away,W,L,3,1,1,3,Brighton,Brighton,3,1,9,8,3,2,33.3,25.0,0.22,0.13,0.67,0.5,15.0,19.8,0,0,1,0,1,0,1.6,0.5,0.8,0.5,0.09,0.06,1.4,0.5,1.2,0.5,Match Report,Match Report,82,70
11,13,Manchester City,10,Leicester City,95,85,78,2022-10-29,2022-10-29,12:30,12:30,Matchweek 14,Matchweek 14,Sat,Sat,Away,Home,W,L,1,0,0,1,Leicester City,Leicester City,1,0,15,10,5,5,33.3,50.0,0.07,0.0,0.2,0.0,20.8,16.4,1,0,0,0,0,0,1.0,0.7,1.0,0.7,0.07,0.07,0.0,-0.7,0.0,-0.7,Match Report,Match Report,82,77
12,13,Manchester City,10,Fulham,144,85,76,2022-11-05,2022-11-05,15:00,15:00,Matchweek 15,Matchweek 15,Sat,Sat,Home,Away,W,L,2,1,1,2,Fulham,Fulham,2,1,15,3,4,1,26.7,33.3,0.07,0.0,0.25,0.0,18.1,26.2,1,0,1,1,1,1,2.1,1.0,1.3,0.2,0.09,0.05,-0.1,0.0,-0.3,-0.2,Match Report,Match Report,82,76
13,13,Manchester City,10,Brentford,1925,85,74,2022-11-12,2022-11-12,12:30,12:30,Matchweek 16,Matchweek 16,Sat,Sat,Home,Away,L,W,1,2,2,1,Brentford,Brentford,1,2,29,10,6,7,20.7,70.0,0.03,0.2,0.17,0.29,20.9,15.2,0,0,0,0,0,0,1.6,1.3,1.6,1.3,0.06,0.13,-0.6,0.7,-0.6,0.7,Match Report,Match Report,82,67
14,13,Manchester City,10,Leeds United,8,85,76,2022-12-28,2022-12-28,20:00,20:00,Matchweek 17,Matchweek 17,Wed,Wed,Away,Home,W,L,3,1,1,3,Leeds United,Leeds United,3,1,26,9,9,1,34.6,11.1,0.12,0.11,0.33,1.0,16.0,19.3,0,2,0,0,0,0,4.3,0.6,4.3,0.6,0.17,0.06,-1.3,0.4,-1.3,0.4,Match Report,Match Report,82,73
15,13,Manchester City,10,Everton,7,85,77,2022-12-31,2022-12-31,15:00,15:00,Matchweek 18,Matchweek 18,Sat,Sat,Home,Away,D,D,1,1,1,1,Everton,Everton,1,1,16,2,3,1,18.8,50.0,0.06,0.5,0.33,1.0,15.4,25.1,0,0,0,0,0,0,1.7,0.1,1.7,0.1,0.11,0.05,-0.7,0.9,-0.7,0.9,Match Report,Match Report,82,77
16,13,Manchester City,10,Chelsea,5,85,84,2023-01-05,2023-01-05,20:00,20:00,Matchweek 19,Matchweek 19,Thu,Thu,Away,Home,W,L,1,0,0,1,Chelsea,Chelsea,1,0,12,8,3,2,25.0,25.0,0.08,0.0,0.33,0.0,16.0,17.2,0,0,0,0,0,0,2.0,0.4,2.0,0.4,0.17,0.05,-1.0,-0.4,-1.0,-0.4,Match Report,Match Report,82,73
17,13,Manchester City,10,Manchester Utd,11,85,82,2023-01-14,2023-01-14,12:30,12:30,Matchweek 20,Matchweek 20,Sat,Sat,Away,Home,L,W,1,2,2,1,Manchester Utd,Manchester Utd,1,2,5,8,1,3,20.0,37.5,0.2,0.25,1.0,0.67,19.2,14.8,0,0,0,0,0,0,0.6,1.7,0.6,1.7,0.13,0.21,0.4,0.3,0.4,0.3,Match Report,Match Report,82,81
18,13,Manchester City,10,Tottenham,18,85,81,2023-01-19,2023-01-19,20:00,20:00,Matchweek 7,Matchweek 7,Thu,Thu,Home,Away,W,L,4,2,2,4,Tottenham,Tottenham,4,2,16,9,6,3,37.5,33.3,0.25,0.22,0.67,0.67,16.3,16.5,1,0,0,0,0,0,2.3,0.8,2.3,0.8,0.15,0.09,1.7,1.2,1.7,1.2,Match Report,Match Report,82,75
19,13,Manchester City,10,Wolves,110,85,78,2023-01-22,2023-01-22,14:00,14:00,Matchweek 21,Matchweek 21,Sun,Sun,Home,Away,W,L,3,0,0,3,Wolves,Wolves,3,0,12,10,5,1,41.7,10.0,0.17,0.0,0.4,0.0,14.8,16.4,0,0,1,0,1,0,2.8,0.8,2.0,0.8,0.17,0.08,0.2,-0.8,0.0,-0.8,Match Report,Match Report,82,73
20,13,Manchester City,10,Tottenham,18,85,81,2023-02-05,2023-02-05,16:30,16:30,Matchweek 22,Matchweek 22,Sun,Sun,Away,Home,L,W,0,1,1,0,Tottenham,Tottenham,0,1,15,12,5,3,33.3,25.0,0.0,0.08,0.0,0.33,17.7,14.7,1,0,0,0,0,0,1.3,1.4,1.3,1.4,0.09,0.12,-1.3,-0.4,-1.3,-0.4,Match Report,Match Report,82,75
21,13,Manchester City,10,Aston Villa,2,85,79,2023-02-12,2023-02-12,16:30,16:30,Matchweek 23,Matchweek 23,Sun,Sun,Home,Away,W,L,3,1,1,3,Aston Villa,Aston Villa,3,1,16,6,7,2,43.8,33.3,0.13,0.17,0.29,0.5,15.4,22.8,1,0,1,0,1,0,3.3,0.3,2.6,0.3,0.16,0.05,-0.3,0.7,-0.6,0.7,Match Report,Match Report,82,72
22,13,Manchester City,10,Arsenal,1,85,79,2023-02-15,2023-02-15,19:30,19:30,Matchweek 12,Matchweek 12,Wed,Wed,Away,Home,W,L,3,1,1,3,Arsenal,Arsenal,3,1,9,9,5,0,55.6,0.0,0.33,0.0,0.6,,12.1,19.2,0,0,0,1,0,1,1.8,1.6,1.8,0.9,0.21,0.09,1.2,-0.6,1.2,-0.9,Match Report,Match Report,82,78
23,13,Manchester City,10,Nott'ham Forest,14,85,76,2023-02-18,2023-02-18,15:00,15:00,Matchweek 24,Matchweek 24,Sat,Sat,Away,Home,D,D,1,1,1,1,Nott'ham Forest,Nott'ham Forest,1,1,23,4,6,1,26.1,25.0,0.04,0.25,0.17,1.0,18.0,14.7,2,0,0,0,0,0,2.4,0.9,2.4,0.9,0.12,0.24,-1.4,0.1,-1.4,0.1,Match Report,Match Report,82,73
24,13,Manchester City,10,Bournemouth,1943,85,74,2023-02-25,2023-02-25,17:30,17:30,Matchweek 25,Matchweek 25,Sat,Sat,Away,Home,W,L,4,1,1,4,Bournemouth,Bournemouth,3,1,20,13,5,2,25.0,15.4,0.15,0.08,0.6,0.5,15.3,14.2,1,0,0,0,0,0,2.4,1.0,2.4,1.0,0.13,0.08,0.6,0.0,0.6,0.0,Match Report,Match Report,82,70
25,13,Manchester City,10,Newcastle Utd,13,85,78,2023-03-04,2023-03-04,12:30,12:30,Matchweek 26,Matchweek 26,Sat,Sat,Home,Away,W,L,2,0,0,2,Newcastle Utd,Newcastle Utd,2,0,11,5,3,2,27.3,40.0,0.18,0.0,0.67,0.0,15.8,15.0,2,1,0,0,0,0,1.3,0.4,1.3,0.4,0.12,0.09,0.7,-0.4,0.7,-0.4,Match Report,Match Report,82,76
26,13,Manchester City,10,Crystal Palace,1799,85,76,2023-03-11,2023-03-11,17:30,17:30,Matchweek 27,Matchweek 27,Sat,Sat,Away,Home,W,L,1,0,0,1,Crystal Palace,Crystal Palace,1,0,13,4,3,0,23.1,0.0,0.0,0.0,0.0,,19.0,17.5,1,0,1,0,1,0,2.1,0.2,1.3,0.2,0.1,0.05,-1.1,-0.2,-1.3,-0.2,Match Report,Match Report,82,70
27,13,Manchester City,10,Liverpool,9,85,84,2023-04-01,2023-04-01,12:30,12:30,Matchweek 29,Matchweek 29,Sat,Sat,Home,Away,W,L,4,1,1,4,Liverpool,Liverpool,4,1,17,4,8,1,47.1,25.0,0.24,0.25,0.5,1.0,14.5,15.9,1,0,0,0,0,0,2.9,0.3,2.9,0.3,0.17,0.08,1.1,0.7,1.1,0.7,Match Report,Match Report,82,79
28,13,Manchester City,10,Southampton,17,85,75,2023-04-08,2023-04-08,17:30,17:30,Matchweek 30,Matchweek 30,Sat,Sat,Away,Home,W,L,4,1,1,4,Southampton,Southampton,4,1,12,4,7,1,58.3,25.0,0.25,0.25,0.43,1.0,13.2,17.0,0,0,1,0,1,0,2.9,0.4,2.1,0.4,0.18,0.1,1.1,0.6,0.9,0.6,Match Report,Match Report,82,70
29,13,Manchester City,10,Leicester City,95,85,78,2023-04-15,2023-04-15,17:30,17:30,Matchweek 31,Matchweek 31,Sat,Sat,Home,Away,W,L,3,1,1,3,Leicester City,Leicester City,3,1,11,11,3,4,27.3,36.4,0.18,0.09,0.67,0.25,17.8,14.3,0,0,1,0,1,0,1.6,2.3,1.2,2.3,0.12,0.22,1.4,-1.3,0.8,-1.3,Match Report,Match Report,82,77
30,13,Manchester City,10,Arsenal,1,85,79,2023-04-26,2023-04-26,20:00,20:00,Matchweek 33,Matchweek 33,Wed,Wed,Home,Away,W,L,4,1,1,4,Arsenal,Arsenal,4,1,14,8,9,2,64.3,25.0,0.29,0.13,0.44,0.5,15.9,18.0,0,1,0,0,0,0,2.5,0.5,2.5,0.5,0.18,0.06,1.5,0.5,1.5,0.5,Match Report,Match Report,82,78
31,13,Manchester City,10,Fulham,144,85,76,2023-04-30,2023-04-30,14:00,14:00,Matchweek 34,Matchweek 34,Sun,Sun,Away,Home,W,L,2,1,1,2,Fulham,Fulham,2,1,11,4,8,1,72.7,25.0,0.09,0.25,0.13,1.0,14.1,22.4,0,0,1,0,1,0,2.5,0.2,1.7,0.2,0.16,0.05,-0.5,0.8,-0.7,0.8,Match Report,Match Report,82,76
32,13,Manchester City,10,West Ham,19,85,79,2023-05-03,2023-05-03,20:00,20:00,Matchweek 28,Matchweek 28,Wed,Wed,Home,Away,W,L,3,0,0,3,West Ham,West Ham,3,0,16,6,7,2,43.8,33.3,0.19,0.0,0.43,0.0,16.3,24.2,0,0,0,0,0,0,2.3,0.4,2.3,0.4,0.14,0.07,0.7,-0.4,0.7,-0.4,Match Report,Match Report,82,77
33,13,Manchester City,10,Leeds United,8,85,76,2023-05-06,2023-05-06,15:00,15:00,Matchweek 35,Matchweek 35,Sat,Sat,Home,Away,W,L,2,1,1,2,Leeds United,Leeds United,2,1,17,4,6,2,35.3,50.0,0.12,0.25,0.33,0.5,18.7,12.1,2,0,0,0,1,0,2.6,0.2,1.8,0.2,0.1,0.06,-0.6,0.8,0.2,0.8,Match Report,Match Report,82,73
