Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,Unnamed: 31_level_0,90s,Att,Pos,Squad,Player,Dribble/90,Shot_Accuracy,Dribble_Accuracy
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,,,,,22.0,
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,1143,12,116,495,554,72,1143,100,34,34.0,48,48.0,686,3646,1532,43,34,13,71,82,767,151,Matches,26.4,100.0,"MF,FW",Leeds United,Brenden Aaronson,3.787878787878788,,34.0
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,99,2,6,41,53,17,99,6,3,50.0,3,50.0,55,314,143,8,2,2,5,2,65,15,Matches,1.9,6.0,"MF,DF",Eint Frankfurt,Paxten Aaronson,3.1578947368421053,,50.0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,39,8,26,13,0,0,39,1,1,100.0,0,0.0,18,48,19,0,0,0,1,1,21,0,Matches,0.7,1.0,DF,Udinese,James Abankwah,1.4285714285714286,,100.0
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches,0.0,0.0,MF,Tottenham,George Abbott,,,
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,2459,241,1088,1275,123,39,2459,37,21,56.8,14,37.8,1723,10871,6123,40,21,3,27,23,1499,10,Matches,37.0,37.0,DF,Reims,Yunis Abdelhamid,1.0,,56.8
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,1516,26,237,914,409,23,1516,76,43,56.6,28,36.8,1184,6861,3294,58,60,7,36,20,1066,111,Matches,23.7,76.0,"MF,FW",Angers,Himad Abdelli,3.2067510548523206,,56.6
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,2224,66,404,1502,340,16,2224,49,29,59.2,13,26.5,1849,9645,3457,33,56,3,39,32,1705,44,Matches,32.2,49.0,MF,Lens,Salis Abdul Samed,1.5217391304347825,,59.2
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,1779,76,581,1069,151,4,1779,41,23,56.1,14,34.1,1384,6069,2597,13,29,0,29,19,1257,14,Matches,26.0,41.0,MF,Lorient,Laurent Abergel,1.5769230769230769,,56.1
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,257,15,82,137,40,13,257,1,1,100.0,0,0.0,99,401,156,2,3,0,6,1,116,8,Matches,6.6,1.0,MF,Hellas Verona,Oliver Abildgaard,0.1515151515151515,,100.0
