Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Unnamed: 23_level_0,Unnamed: 24_level_0,Expected,Expected.1,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,90s,Att,Pos,Squad,Player,Pass/90,Shot_Accuracy,Pass_Accuracy
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,22.0,
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,592,797,74.3,7577,2182,346,423,81.8,150,195,76.9,25,65,38.5,3,4.2,2.6,-1.2,46,47,16,4,86,Matches,26.4,797.0,"MF,FW",Leeds United,Brenden Aaronson,30.18939393939394,,74.3
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,51,71,71.8,659,109,36,38,94.7,14,23,60.9,1,6,16.7,0,0.0,0.1,0.0,1,3,0,0,6,Matches,1.9,71.0,"MF,DF",Eint Frankfurt,Paxten Aaronson,37.36842105263158,,71.8
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,23,29,79.3,375,79,14,15,93.3,6,8,75.0,2,5,40.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0.7,29.0,DF,Udinese,James Abankwah,41.42857142857143,,79.3
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0.0,1.0,MF,Tottenham,George Abbott,inf,,100.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,1679,2031,82.7,32967,13407,490,571,85.8,1006,1117,90.1,155,279,55.6,2,1.0,0.9,+1.0,13,155,5,0,215,Matches,37.0,2031.0,DF,Reims,Yunis Abdelhamid,54.891891891891895,,82.7
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,1043,1257,83.0,18273,4649,465,536,86.8,421,494,85.2,122,169,72.2,2,2.9,2.5,-0.9,36,124,26,8,151,Matches,23.7,1257.0,"MF,FW",Angers,Himad Abdelli,53.03797468354431,,83.0
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,1819,1981,91.8,28679,7020,897,964,93.0,769,811,94.8,92,117,78.6,1,1.6,2.3,-0.6,17,182,17,3,165,Matches,32.2,1981.0,MF,Lens,Salis Abdul Samed,61.52173913043477,,91.8
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,1308,1483,88.2,22287,7579,593,640,92.7,562,617,91.1,111,160,69.4,1,1.3,1.1,-0.3,14,144,11,0,143,Matches,26.0,1483.0,MF,Lorient,Laurent Abergel,57.03846153846154,,88.2
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,115,195,59.0,1943,930,58,85,68.2,41,71,57.7,13,27,48.1,0,0.4,0.3,-0.4,6,17,3,2,15,Matches,6.6,195.0,MF,Hellas Verona,Oliver Abildgaard,29.545454545454547,,59.0
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,69,105,65.7,1187,235,24,36,66.7,35,44,79.5,5,11,45.5,1,0.7,0.3,+0.3,5,7,3,1,8,Matches,9.0,105.0,"FW,MF",Auxerre,Matthis Abline,11.666666666666666,,65.7
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,7,15,46.7,129,30,3,6,50.0,3,4,75.0,1,1,100.0,0,0.3,0.2,-0.3,2,1,1,0,2,Matches,1.2,15.0,"FW,MF",Rennes,Matthis Abline,12.5,,46.7
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,252,351,71.8,3886,1578,130,149,87.2,94,134,70.1,16,42,38.1,0,0.1,0.5,-0.1,2,18,3,1,16,Matches,6.7,351.0,DF,Betis,Abner,52.38805970149254,36.1,71.8
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,576,777,74.1,7539,1994,373,447,83.4,158,208,76.0,12,29,41.4,5,3.3,2.8,+1.7,22,30,22,4,72,Matches,27.5,777.0,"FW,MF",Toulouse,Zakaria Aboukhlal,28.25454545454545,45.2,74.1
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,342,513,66.7,4964,1248,198,260,76.2,102,163,62.6,24,36,66.7,3,3.6,2.8,-0.6,33,18,17,2,54,Matches,24.3,513.0,FW,Roma,Tammy Abraham,21.11111111111111,,66.7
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,9,9,100.0,129,4,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0.2,9.0,MF,Cremonese,Christian Acella,45.0,,100.0
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1455,1644,88.5,27034,8090,545,594,91.8,737,802,91.9,149,202,73.8,2,1.1,1.2,+0.9,16,86,14,3,100,Matches,26.9,1644.0,DF,Inter,Francesco Acerbi,61.11524163568774,,88.5
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0.1,8.0,GK,Valladolid,Álvaro Aceves,80.0,,87.5
