Pitch_Number,count_pass,x_interval_pass,y_interval_pass,percentage_pass,position_pass,action_pass,count_shot,x_interval_shot,y_interval_shot,percentage_shot,position_shot,action_shot,count,x_interval,y_interval,percentage,position,action,percentage_dribble,count_dribble,total_count,total_percentage,pitch_prob,pass_prob,shot_prob,dribble_prob
1,7.0,"(0.0, 5.0)","(0.0, 5.0)",0.0001898562516951,ALL,Pass,0.0,"(0.0, 5.0)","(0.0, 5.0)",0.0,ALL,Shot,0.0,"(0.0, 5.0)","(0.0, 5.0)",0.0,ALL,Dribble,0.0,0.0,7.0,0.0001898562516951,0.00018011063939276983,1.0,0.0,0.0
2,19.0,"(0.0, 5.0)","(5.0, 10.0)",0.0005153241117439,ALL,Pass,0.0,"(0.0, 5.0)","(5.0, 10.0)",0.0,ALL,Shot,2.0,"(0.0, 5.0)","(5.0, 10.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,21.0,0.0022635758599955998,0.0005403319181783095,0.9047619047619048,0.0,0.09523809523809523
3,30.0,"(0.0, 5.0)","(10.0, 15.0)",0.000813669650122,ALL,Pass,0.0,"(0.0, 5.0)","(10.0, 15.0)",0.0,ALL,Shot,0.0,"(0.0, 5.0)","(10.0, 15.0)",0.0,ALL,Dribble,0.0,0.0,30.0,0.000813669650122,0.0007719027402547279,1.0,0.0,0.0
4,44.0,"(0.0, 5.0)","(15.0, 20.0)",0.0011933821535123,ALL,Pass,0.0,"(0.0, 5.0)","(15.0, 20.0)",0.0,ALL,Shot,1.0,"(0.0, 5.0)","(15.0, 20.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,45.0,0.0020675080276381,0.0011578541103820917,0.9777777777777777,0.0,0.022222222222222223
5,45.0,"(0.0, 5.0)","(20.0, 25.0)",0.001220504475183,ALL,Pass,0.0,"(0.0, 5.0)","(20.0, 25.0)",0.0,ALL,Shot,2.0,"(0.0, 5.0)","(20.0, 25.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,47.0,0.0029687562234347,0.0012093142930657405,0.9574468085106383,0.0,0.0425531914893617
6,67.0,"(0.0, 5.0)","(25.0, 30.0)",0.0018171955519392,ALL,Pass,0.0,"(0.0, 5.0)","(25.0, 30.0)",0.0,ALL,Shot,4.0,"(0.0, 5.0)","(25.0, 30.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,71.0,0.0053136990484426,0.0018268364852695228,0.9436619718309859,0.0,0.056338028169014086
7,89.0,"(0.0, 5.0)","(30.0, 35.0)",0.0024138866286954,ALL,Pass,0.0,"(0.0, 5.0)","(30.0, 35.0)",0.0,ALL,Shot,1.0,"(0.0, 5.0)","(30.0, 35.0)",0.0008741258741258,ALL,Dribble,0.0008741258741258,1.0,90.0,0.0032880125028212,0.0023157082207641835,0.9888888888888889,0.0,0.011111111111111112
8,85.0,"(0.0, 5.0)","(35.0, 40.0)",0.0023053973420124,ALL,Pass,0.0,"(0.0, 5.0)","(35.0, 40.0)",0.0,ALL,Shot,3.0,"(0.0, 5.0)","(35.0, 40.0)",0.0026223776223776,ALL,Dribble,0.0026223776223776,3.0,88.0,0.0049277749643899995,0.002264248038080535,0.9659090909090909,0.0,0.03409090909090909
9,108.0,"(0.0, 5.0)","(40.0, 45.0)",0.0029292107404393,ALL,Pass,0.0,"(0.0, 5.0)","(40.0, 45.0)",0.0,ALL,Shot,2.0,"(0.0, 5.0)","(40.0, 45.0)",0.0017482517482517,ALL,Dribble,0.0017482517482517,2.0,110.0,0.004677462488690999,0.002830310047600669,0.9818181818181818,0.0,0.01818181818181818
10,113.0,"(0.0, 5.0)","(45.0, 50.0)",0.003064822348793,ALL,Pass,0.0,"(0.0, 5.0)","(45.0, 50.0)",0.0,ALL,Shot,4.0,"(0.0, 5.0)","(45.0, 50.0)",0.0034965034965034,ALL,Dribble,0.0034965034965034,4.0,117.0,0.0065613258452964,0.003010420686993439,0.9658119658119658,0.0,0.03418803418803419
