,Club,Att_pass,Att_shot,Att_dribble,Total_Actions,Triple_Prob_Dict
0,Manchester City,701.1052631578947,15.526315789473685,18.526315789473685,735.157894736842,"{'Pass': 0.9536798396334479, 'Shot': 0.021119702176403212, 'Dribble': 0.025200458190148916}"
1,Paris Saint-Germain,696.7368421052631,14.789473684210526,25.68421052631579,737.2105263157895,"{'Pass': 0.9450988791318626, 'Shot': 0.020061397872492323, 'Dribble': 0.034839722995645035}"
2,FC Bayern,668.1176470588235,18.38235294117647,26.823529411764707,713.3235294117648,"{'Pass': 0.9366263967344246, 'Shot': 0.02577000783408238, 'Dribble': 0.03760359543149301}"
3,Real Madrid,658.2105263157895,16.68421052631579,25.55263157894737,700.4473684210527,"{'Pass': 0.9397001916068677, 'Shot': 0.02381936356463914, 'Dribble': 0.03648044482849307}"
4,FC Barcelona,650.6578947368421,15.0,21.07894736842105,686.7368421052631,"{'Pass': 0.9474632127529123, 'Shot': 0.02184242795830779, 'Dribble': 0.03069435928877989}"
5,Napoli,644.0263157894736,15.921052631578947,21.0,680.9473684210526,"{'Pass': 0.9457798732416138, 'Shot': 0.023380738908641212, 'Dribble': 0.03083938784974494}"
6,Liverpool,641.078947368421,15.81578947368421,18.18421052631579,675.078947368421,"{'Pass': 0.949635520212061, 'Shot': 0.02342805909640198, 'Dribble': 0.026936420691537056}"
7,RB Leipzig,603.7941176470588,14.617647058823529,20.5,638.9117647058823,"{'Pass': 0.9450352161303687, 'Shot': 0.022878976200340653, 'Dribble': 0.03208580766929062}"
8,Brighton & Hove Albion,602.3157894736842,15.973684210526315,19.105263157894736,637.3947368421052,"{'Pass': 0.9449651129185418, 'Shot': 0.02506089756822592, 'Dribble': 0.02997398951323232}"
9,Chelsea,600.9473684210526,12.657894736842104,22.05263157894737,635.6578947368421,"{'Pass': 0.9453943282964189, 'Shot': 0.019913061477954873, 'Dribble': 0.03469261022562617}"
10,Lille,600.6842105263158,14.342105263157896,21.736842105263158,636.7631578947369,"{'Pass': 0.9433400834814233, 'Shot': 0.022523453320659585, 'Dribble': 0.03413646319791709}"
11,Lyon,597.3157894736842,13.447368421052632,23.55263157894737,634.3157894736842,"{'Pass': 0.9416694324593429, 'Shot': 0.021199800862927318, 'Dribble': 0.03713076667772984}"
12,Borussia Dortmund,584.9705882352941,16.41176470588235,25.852941176470587,627.2352941176471,"{'Pass': 0.9326174622526494, 'Shot': 0.02616524430272906, 'Dribble': 0.041217293444621585}"
13,Arsenal,578.1315789473684,15.5,19.763157894736842,613.3947368421053,"{'Pass': 0.9425114762538075, 'Shot': 0.02526920931828907, 'Dribble': 0.032219314427903385}"
14,Lazio,569.1842105263158,11.31578947368421,16.105263157894736,596.6052631578947,"{'Pass': 0.9540381985796834, 'Shot': 0.01896696219840325, 'Dribble': 0.02699483922191346}"
15,Internazionale,560.0263157894736,16.44736842105263,13.0,589.4736842105262,"{'Pass': 0.9500446428571429, 'Shot': 0.027901785714285716, 'Dribble': 0.022053571428571433}"
16,RC Lens,557.9736842105264,13.631578947368421,17.526315789473685,589.1315789473684,"{'Pass': 0.9471121633090633, 'Shot': 0.023138428552284807, 'Dribble': 0.029749408138651897}"
17,Rennes,557.7105263157895,13.842105263157896,20.63157894736842,592.1842105263158,"{'Pass': 0.9417855397058169, 'Shot': 0.02337466115629027, 'Dribble': 0.03483979913789272}"
18,Gladbach,554.5294117647059,11.852941176470589,16.11764705882353,582.5,"{'Pass': 0.9519818227720273, 'Shot': 0.020348396869477405, 'Dribble': 0.02766978035849533}"
19,OGC Nice,546.4473684210526,13.342105263157896,21.63157894736842,581.421052631579,"{'Pass': 0.9398479225128994, 'Shot': 0.022947406535711055, 'Dribble': 0.03720467095138952}"
20,Monza,545.3684210526316,10.68421052631579,15.68421052631579,571.7368421052632,"{'Pass': 0.9538801436067383, 'Shot': 0.018687287121421335, 'Dribble': 0.027432569271840186}"
21,Marseille,544.4473684210526,14.368421052631579,19.526315789473685,578.3421052631578,"{'Pass': 0.9413932747872777, 'Shot': 0.02484415525321928, 'Dribble': 0.03376256995950312}"
22,Bologna,540.8421052631579,12.605263157894736,14.921052631578947,568.3684210526316,"{'Pass': 0.9515695897768313, 'Shot': 0.022177979442540977, 'Dribble': 0.026252430780627837}"
23,Manchester United,540.1315789473684,15.526315789473685,19.210526315789473,574.8684210526316,"{'Pass': 0.9395742732890823, 'Shot': 0.027008468757152668, 'Dribble': 0.03341725795376516}"
24,Atlético Madrid,539.1578947368421,14.157894736842104,17.263157894736842,570.578947368421,"{'Pass': 0.9449312794022692, 'Shot': 0.024813209113550408, 'Dribble': 0.030255511484180427}"
25,Bayer Leverkusen,535.4705882352941,12.705882352941176,21.0,569.1764705882354,"{'Pass': 0.9407813145928069, 'Shot': 0.022323274080198425, 'Dribble': 0.03689541132699462}"
26,Eintracht Frankfurt,528.6764705882352,11.735294117647058,20.441176470588236,560.8529411764706,"{'Pass': 0.9426293985001835, 'Shot': 0.020924012795636895, 'Dribble': 0.03644658870417956}"
27,Villarreal,522.6842105263158,13.131578947368421,23.157894736842106,558.9736842105264,"{'Pass': 0.9350783861400123, 'Shot': 0.023492302622287086, 'Dribble': 0.041429311237700675}"
28,AC Milan,519.3157894736842,14.368421052631579,21.05263157894737,554.7368421052631,"{'Pass': 0.9361480075901328, 'Shot': 0.025901328273244782, 'Dribble': 0.037950664136622396}"
29,Tottenham Hotspur,517.6842105263158,13.473684210526315,17.526315789473685,548.6842105263158,"{'Pass': 0.9435011990407673, 'Shot': 0.02455635491606714, 'Dribble': 0.031942446043165464}"
30,Atalanta,513.3421052631579,13.31578947368421,20.657894736842106,547.3157894736842,"{'Pass': 0.9379267237234351, 'Shot': 0.02432926242907972, 'Dribble': 0.03774401384748534}"
31,Torino,508.8421052631579,11.68421052631579,17.57894736842105,538.1052631578948,"{'Pass': 0.9456181533646322, 'Shot': 0.021713615023474176, 'Dribble': 0.032668231611893576}"
32,Fiorentina,506.2105263157895,15.710526315789474,18.526315789473685,540.4473684210526,"{'Pass': 0.9366509227248382, 'Shot': 0.029069484345327946, 'Dribble': 0.034279592929833964}"
33,Toulouse,506.2105263157895,11.921052631578947,17.57894736842105,535.7105263157895,"{'Pass': 0.944932946897873, 'Shot': 0.022252787738861326, 'Dribble': 0.032814265363265704}"
34,Sevilla,505.07894736842104,12.18421052631579,15.894736842105264,533.1578947368422,"{'Pass': 0.9473346495557747, 'Shot': 0.02285291214215202, 'Dribble': 0.029812438302073047}"
35,Real Sociedad,503.5263157894737,12.236842105263158,17.894736842105264,533.6578947368422,"{'Pass': 0.9435376497854923, 'Shot': 0.022930124759603526, 'Dribble': 0.033532225454904085}"
36,VfB Stuttgart,499.61764705882354,13.441176470588236,21.58823529411765,534.6470588235295,"{'Pass': 0.9344812410606226, 'Shot': 0.02514027945868632, 'Dribble': 0.04037847948069094}"
37,Leicester City,496.60526315789474,10.842105263157896,16.31578947368421,523.7631578947369,"{'Pass': 0.9481485203235692, 'Shot': 0.02070039692508667, 'Dribble': 0.031151082751344015}"
38,Juventus,491.8421052631579,13.921052631578947,16.44736842105263,522.2105263157895,"{'Pass': 0.9418464019350937, 'Shot': 0.02665793186857488, 'Dribble': 0.03149566619633138}"
39,Athletic Bilbao,490.2631578947368,14.236842105263158,19.31578947368421,523.8157894736842,"{'Pass': 0.9359457422758102, 'Shot': 0.02717910072846019, 'Dribble': 0.03687515699572971}"
40,Girona,489.57894736842104,11.736842105263158,19.157894736842106,520.4736842105264,"{'Pass': 0.9406411163919506, 'Shot': 0.022550308423500857, 'Dribble': 0.036808575184548484}"
41,Werder Bremen,486.88235294117646,10.676470588235293,15.176470588235293,512.7352941176471,"{'Pass': 0.9495783858199965, 'Shot': 0.020822577869557733, 'Dribble': 0.029599036310445706}"
42,Celta de Vigo,486.8157894736842,12.368421052631579,18.42105263157895,517.6052631578947,"{'Pass': 0.940515532055519, 'Shot': 0.023895470028979616, 'Dribble': 0.035588997915501554}"
43,AS Monaco,483.63157894736844,12.368421052631579,17.842105263157894,513.8421052631579,"{'Pass': 0.9412065963330943, 'Shot': 0.02407047014237427, 'Dribble': 0.03472293352453139}"
44,Sassuolo,481.7368421052632,12.552631578947368,17.18421052631579,511.4736842105263,"{'Pass': 0.9418604651162792, 'Shot': 0.024542086849145914, 'Dribble': 0.03359744803457502}"
45,Wolverhampton,481.42105263157896,10.763157894736842,20.31578947368421,512.5,"{'Pass': 0.9393581514762517, 'Shot': 0.0210012836970475, 'Dribble': 0.0396405648267009}"
46,FC Köln,481.38235294117646,12.147058823529411,15.323529411764707,508.85294117647055,"{'Pass': 0.9460146812322988, 'Shot': 0.023871452517195538, 'Dribble': 0.030113866250505755}"
47,Real Betis,480.2368421052632,10.81578947368421,20.342105263157894,511.3947368421053,"{'Pass': 0.9390727113672618, 'Shot': 0.02114959090207379, 'Dribble': 0.03977769773066433}"
48,Lorient,475.9736842105263,10.447368421052632,24.105263157894736,510.5263157894737,"{'Pass': 0.9323195876288659, 'Shot': 0.020463917525773197, 'Dribble': 0.04721649484536082}"
49,VfL Wolfsburg,474.38235294117646,11.794117647058824,17.647058823529413,503.8235294117647,"{'Pass': 0.9415645067133683, 'Shot': 0.023409223584354936, 'Dribble': 0.03502626970227671}"
50,Fulham,474.05263157894734,11.052631578947368,15.763157894736842,500.8684210526315,"{'Pass': 0.9464614091315086, 'Shot': 0.02206693637366679, 'Dribble': 0.03147165449482478}"
51,Clermont,472.6578947368421,10.342105263157896,19.81578947368421,502.8157894736842,"{'Pass': 0.9400219814727586, 'Shot': 0.02056837808133145, 'Dribble': 0.039409640445909874}"
52,Newcastle United,469.39473684210526,14.868421052631579,20.605263157894736,504.86842105263156,"{'Pass': 0.9297367735209799, 'Shot': 0.029450091217096692, 'Dribble': 0.04081313526192338}"
53,AS Roma,468.7894736842105,12.842105263157896,17.81578947368421,499.44736842105266,"{'Pass': 0.9386163654565571, 'Shot': 0.025712629748669582, 'Dribble': 0.03567100479477316}"
54,Rayo Vallecano,464.89473684210526,13.421052631578947,17.36842105263158,495.6842105263158,"{'Pass': 0.9378849012529199, 'Shot': 0.02707581227436823, 'Dribble': 0.03503928647271183}"
55,Reims,462.2368421052632,13.578947368421053,21.05263157894737,496.86842105263156,"{'Pass': 0.9303003018907897, 'Shot': 0.0273290609607542, 'Dribble': 0.042370637148456125}"
56,Valencia,460.3157894736842,12.631578947368421,19.657894736842106,492.60526315789474,"{'Pass': 0.9344516266894599, 'Shot': 0.025642395427106147, 'Dribble': 0.039905977883433946}"
57,Angers,459.55263157894734,9.657894736842104,24.42105263157895,493.6315789473684,"{'Pass': 0.9309627892099371, 'Shot': 0.01956498560614138, 'Dribble': 0.04947222518392153}"
58,Aston Villa,457.7894736842105,11.236842105263158,17.92105263157895,486.94736842105266,"{'Pass': 0.9401210549070471, 'Shot': 0.02307609165585819, 'Dribble': 0.03680285343709468}"
59,TSG Hoffenheim,457.7647058823529,11.705882352941176,16.970588235294116,486.4411764705882,"{'Pass': 0.941048430981317, 'Shot': 0.024064332789165005, 'Dribble': 0.03488723622951811}"
60,SC Freiburg,456.8529411764706,12.147058823529411,14.147058823529411,483.1470588235294,"{'Pass': 0.9455774030559445, 'Shot': 0.025141535277287394, 'Dribble': 0.029281061666768127}"
61,Crystal Palace,455.4736842105263,11.131578947368421,20.63157894736842,487.2368421052632,"{'Pass': 0.934809613826627, 'Shot': 0.022846340804752903, 'Dribble': 0.042344045368620034}"
62,Strasbourg,454.6578947368421,11.631578947368421,18.63157894736842,484.92105263157896,"{'Pass': 0.9375915775763825, 'Shot': 0.023986541488033863, 'Dribble': 0.03842188093558365}"
