Club,Att_pass,Att_shot,Att_dribble,Total_touches,%pass,%shot,%dribble
Manchester City,701.1052631578947,15.526315789473685,18.526315789473685,735.157894736842,0.9536798396334479,0.021119702176403212,0.025200458190148916
Paris Saint-Germain,696.7368421052631,14.789473684210526,25.68421052631579,737.2105263157895,0.9450988791318626,0.020061397872492323,0.034839722995645035
FC Bayern,668.1176470588235,18.38235294117647,26.823529411764707,713.3235294117648,0.9366263967344246,0.02577000783408238,0.03760359543149301
Real Madrid,658.2105263157895,16.68421052631579,25.55263157894737,700.4473684210527,0.9397001916068677,0.02381936356463914,0.03648044482849307
FC Barcelona,650.6578947368421,15.0,21.07894736842105,686.7368421052631,0.9474632127529123,0.02184242795830779,0.03069435928877989
Napoli,644.0263157894736,15.921052631578947,21.0,680.9473684210526,0.9457798732416138,0.023380738908641212,0.03083938784974494
Liverpool,641.078947368421,15.81578947368421,18.18421052631579,675.078947368421,0.949635520212061,0.02342805909640198,0.026936420691537056
RB Leipzig,603.7941176470588,14.617647058823529,20.5,638.9117647058823,0.9450352161303687,0.022878976200340653,0.03208580766929062
Brighton & Hove Albion,602.3157894736842,15.973684210526315,19.105263157894736,637.3947368421052,0.9449651129185418,0.02506089756822592,0.02997398951323232
Chelsea,600.9473684210526,12.657894736842104,22.05263157894737,635.6578947368421,0.9453943282964189,0.019913061477954873,0.03469261022562617
Lille,600.6842105263158,14.342105263157896,21.736842105263158,636.7631578947369,0.9433400834814233,0.022523453320659585,0.03413646319791709
Lyon,597.3157894736842,13.447368421052632,23.55263157894737,634.3157894736842,0.9416694324593429,0.021199800862927318,0.03713076667772984
Borussia Dortmund,584.9705882352941,16.41176470588235,25.852941176470587,627.2352941176471,0.9326174622526494,0.02616524430272906,0.041217293444621585
Arsenal,578.1315789473684,15.5,19.763157894736842,613.3947368421053,0.9425114762538075,0.02526920931828907,0.032219314427903385
Lazio,569.1842105263158,11.31578947368421,16.105263157894736,596.6052631578947,0.9540381985796834,0.01896696219840325,0.02699483922191346
