,UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Determination,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Fitness,Off the Ball,One vs One,Pace,Passing,Penalty Taking,Positioning,Punching,Reflexes,Rushing Out,Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Unnamed: 0,fm,normal
0,92039023,,Joshua Kimmich,1995-02-08,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,WBR,DM,MC",177,75 kg,27,€96M - €119M,"€1,496,000 p/m",253,23,,68,14,Leader,-,Deep Lying Playmaker,Defend,DM,65,5,75,60,75,65,75,10,10,85,70,75,85,80,100,60,15,55,75,65,65,15,55,50,5,80,70,30,65,100,60,5,60,90,50,65,15,10,15,100,55,60,85,80,5,90,95,0,FC Bayern,FC Bayern
1,92039023,,Joshua Kimmich,1995-02-08,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,WBR,DM,MC",177,75 kg,27,€96M - €119M,"€1,496,000 p/m",253,23,,68,14,Leader,-,Deep Lying Playmaker,Defend,DM,65,5,75,60,75,65,75,10,10,85,70,75,85,80,100,60,15,55,75,65,65,15,55,50,5,80,70,30,65,100,60,5,60,90,50,65,15,10,15,100,55,60,85,80,5,90,95,4,FC Bayern,FC Bayern
2,85100467,,Sadio Mané,1992-04-10,SEN,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"AMR,AML,AMC,ST",174,69 kg,30,€100M - €124M,"€1,537,000 p/m",348,144,Main,87,6,Leader,-,Inverted Winger,Support,AML,80,5,70,80,85,80,75,15,15,75,70,55,70,70,75,80,5,75,80,80,40,15,70,60,10,65,60,15,40,85,90,20,75,70,65,50,15,5,10,70,55,50,80,85,5,70,85,0,FC Bayern,FC Bayern
3,85100467,,Sadio Mané,1992-04-10,SEN,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"AMR,AML,AMC,ST",174,69 kg,30,€100M - €124M,"€1,537,000 p/m",348,144,Main,87,6,Leader,-,Inverted Winger,Support,AML,80,5,70,80,85,80,75,15,15,75,70,55,70,70,75,80,5,75,80,80,40,15,70,60,10,65,60,15,40,85,90,20,75,70,65,50,15,5,10,70,55,50,80,85,5,70,85,4,FC Bayern,FC Bayern
4,35011448,,Thomas Müller,1989-09-13,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,AMR,AMC,ST",185,76 kg,32,Not for Sale,"€1,454,000 p/m",450,153,,115,6,Leader,-,Advanced Playmaker,Support,AMC,60,15,85,60,100,65,65,10,10,80,80,55,85,80,90,55,20,65,65,65,35,5,70,65,10,85,50,40,45,100,100,5,70,80,65,55,5,5,10,95,55,55,100,65,10,90,85,0,FC Bayern,FC Bayern
5,35011448,,Thomas Müller,1989-09-13,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,AMR,AMC,ST",185,76 kg,32,Not for Sale,"€1,454,000 p/m",450,153,,115,6,Leader,-,Advanced Playmaker,Support,AMC,60,15,85,60,100,65,65,10,10,80,80,55,85,80,90,55,20,65,65,65,35,5,70,65,10,85,50,40,45,100,100,5,70,80,65,55,5,5,10,95,55,55,100,65,10,90,85,4,FC Bayern,FC Bayern
6,8718372,,Manuel Neuer,1986-03-27,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,GK,193,93 kg,36,Not for Sale,"€1,496,000 p/m",489,-,,112,20,Distributor,-,Sweeper Keeper,Attack,GK,55,75,65,65,80,70,75,80,70,100,75,10,30,75,90,60,90,35,60,60,40,70,55,85,90,90,35,60,45,95,65,80,55,75,65,80,40,80,100,60,80,55,65,60,90,75,80,0,FC Bayern,FC Bayern
7,8718372,,Manuel Neuer,1986-03-27,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,GK,193,93 kg,36,Not for Sale,"€1,496,000 p/m",489,-,,112,20,Distributor,-,Sweeper Keeper,Attack,GK,55,75,65,65,80,70,75,80,70,100,75,10,30,75,90,60,90,35,60,60,40,70,55,85,90,90,35,60,45,95,65,80,55,75,65,80,40,80,100,60,80,55,65,60,90,75,80,4,FC Bayern,FC Bayern
8,91104807,Inj,Leon Goretzka,1995-02-06,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC,AMC",189,82 kg,27,€72M - €90M,"€1,163,000 p/m",246,40,,44,10,Leader,-,Box To Box Midfielder,Support,MC,60,10,70,55,85,75,80,5,5,80,75,25,55,75,90,60,15,70,75,60,30,5,75,80,5,75,75,30,60,60,90,10,75,75,55,65,5,10,15,85,85,75,85,75,5,75,90,0,FC Bayern,FC Bayern
9,91104807,Inj,Leon Goretzka,1995-02-06,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC,AMC",189,82 kg,27,€72M - €90M,"€1,163,000 p/m",246,40,,44,10,Leader,-,Box To Box Midfielder,Support,MC,60,10,70,55,85,75,80,5,5,80,75,25,55,75,90,60,15,70,75,60,30,5,75,80,5,75,75,30,60,60,90,10,75,75,55,65,5,10,15,85,85,75,85,75,5,75,90,4,FC Bayern,FC Bayern
10,37055843,,Matthijs de Ligt,1999-08-12,NED,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,DC,189,89 kg,22,€106M - €132M,"€1,330,000 p/m",181,17,Main,37,-,Leader,-,Ball Playing Defender,Defend,DC,60,20,80,60,70,75,90,5,5,75,65,30,35,70,80,55,10,40,65,50,50,15,80,75,15,85,50,25,75,65,40,15,65,70,40,75,5,5,10,75,90,80,75,70,5,65,75,0,FC Bayern,FC Bayern
11,37055843,,Matthijs de Ligt,1999-08-12,NED,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,DC,189,89 kg,22,€106M - €132M,"€1,330,000 p/m",181,17,Main,37,-,Leader,-,Ball Playing Defender,Defend,DC,60,20,80,60,70,75,90,5,5,75,65,30,35,70,80,55,10,40,65,50,50,15,80,75,15,85,50,25,75,65,40,15,65,70,40,75,5,5,10,75,90,80,75,70,5,65,75,4,FC Bayern,FC Bayern
12,91138280,Wnt,Leroy Sané,1996-01-11,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"MR,ML,AMR,AML,AMC",183,80 kg,26,€63M - €97M,"€1,413,000 p/m",201,49,,45,10,Creative,-,Inverted Winger,Attack,AMR,85,15,65,80,75,70,45,20,10,65,60,70,75,70,55,90,5,70,75,80,80,15,35,50,15,20,80,15,35,75,75,10,90,70,55,40,5,10,10,65,55,40,55,85,15,75,45,0,FC Bayern,FC Bayern
13,91138280,Wnt,Leroy Sané,1996-01-11,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"MR,ML,AMR,AML,AMC",183,80 kg,26,€63M - €97M,"€1,413,000 p/m",201,49,,45,10,Creative,-,Inverted Winger,Attack,AMR,85,15,65,80,75,70,45,20,10,65,60,70,75,70,55,90,5,70,75,80,80,15,35,50,15,20,80,15,35,75,75,10,90,70,55,40,5,10,10,65,55,40,55,85,15,75,45,4,FC Bayern,FC Bayern
14,28066083,,Serge Gnabry,1995-07-14,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Either,Very Strong,Strong,"MR,ML,AMR,AML,ST",176,77 kg,26,€66M - €82M,"€1,330,000 p/m",183,68,,34,15,Creative,-,Inside Forward,Attack,AML,80,15,55,75,80,80,60,10,15,70,60,60,60,60,60,75,10,75,70,80,55,5,50,40,5,25,80,30,40,65,85,5,75,65,50,40,5,5,10,65,60,45,60,75,15,70,60,0,FC Bayern,FC Bayern
15,28066083,,Serge Gnabry,1995-07-14,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Either,Very Strong,Strong,"MR,ML,AMR,AML,ST",176,77 kg,26,€66M - €82M,"€1,330,000 p/m",183,68,,34,15,Creative,-,Inside Forward,Attack,AML,80,15,55,75,80,80,60,10,15,70,60,60,60,60,60,75,10,75,70,80,55,5,50,40,5,25,80,30,40,65,85,5,75,65,50,40,5,5,10,65,60,45,60,75,15,70,60,4,FC Bayern,FC Bayern
16,20041862,,Alphonso Davies,2000-11-02,CAN,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"DL,WBL,ML,AML",185,77 kg,21,€68M - €101M,"€831,000 p/m",162,18,Main,32,-,Physical,-,Wing-Back,Attack,DL,95,5,75,70,60,60,75,20,10,60,60,30,60,60,85,85,5,45,60,80,30,10,30,50,10,35,50,60,60,80,70,10,95,65,50,60,20,5,15,80,60,70,75,70,10,60,80,0,FC Bayern,FC Bayern
