,player_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,dob,height_cm,club_team_id,club_name,league_id,league_name,club_position,club_jersey_number,nationality_id,nationality_name,preferred_foot,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,fifa_fuzzy_name,mapped_fifa_name,Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position.1,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,Race,RCA,Colour of skin,Date of birth,Number of national team appearances,Goals scored for the national team,Salary,Rental club,UID,fm_fuzzy_name
0,231747,K. Mbappé,Kylian Mbappé Lottin,ST,91,95,190500000.0,230000.0,1998-12-20,182,73,Paris Saint Germain,16,Ligue 1,ST,7,18,France,Right,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,89,89,89,90,90,90,90,90,89,89,89,89,81,81,81,89,67,63,63,63,67,63,54,54,54,63,18,1998-12-20 K. Mbappé,1998-12-20 Kylian Mbappé,Kylian Mbappé,AM/S RL,23,188,197,France,Paris Saint-Germain,13,13,18,17,18,12,7,13,4,4,15,18,4,17,6,17,12,18,14,15,15,15,18,13,18,3,10,10,20,16,15,8,15,20,14,11,15,7,16,7,14,2,2,2,1,1,2,1,3,2,1,2,15,20,8,14,16,16,12,13,1,1,1,1,1,1,1,10,1,10,19,1,17,20,178,73,10,20,347975206,9398,9398,9248,African_Caribbean,172,13,1998-12-20,57,27,1035616.0,,85139014,1998-12-20 Kylian Mbappé
1,166074,Bebé,Tiago Manuel Dias Correia,RM,74,74,3500000.0,18000.0,1990-07-12,190,480,Rayo Vallecano,53,La Liga,SUB,10,104,Cape Verde Islands,Right,69,74,57,74,69,77,67,77,68,69,73,89,68,65,60,89,74,75,92,79,75,33,72,71,65,71,62,28,20,15,7,8,7,11,74,74,74,73,74,74,74,73,73,73,73,73,67,67,67,73,58,58,58,58,58,54,54,54,54,54,16,1990-07-12 Bebé,1998-12-20 Kylian Mbappé,Kylian Mbappé,AM/S RL,23,188,197,France,Paris Saint-Germain,13,13,18,17,18,12,7,13,4,4,15,18,4,17,6,17,12,18,14,15,15,15,18,13,18,3,10,10,20,16,15,8,15,20,14,11,15,7,16,7,14,2,2,2,1,1,2,1,3,2,1,2,15,20,8,14,16,16,12,13,1,1,1,1,1,1,1,10,1,10,19,1,17,20,178,73,10,20,347975206,9398,9398,9248,African_Caribbean,172,13,1998-12-20,57,27,1035616.0,,85139014,1998-12-20 Kylian Mbappé
2,213795,Kiki,Christian Neiva Afonso,LB,68,69,1300000.0,2000.0,1994-12-10,181,111539,Vizela,308,Liga Portugal,LB,24,38,Portugal,Left,69,41,58,66,48,62,68,49,61,65,67,67,63,67,64,57,71,67,68,49,66,66,60,54,57,61,64,67,66,15,12,12,14,16,58,58,58,61,60,60,60,61,60,60,60,63,62,62,62,63,66,65,65,65,66,66,65,65,65,66,20,1994-12-10 Kiki,1998-12-20 Kylian Mbappé,Kylian Mbappé,AM/S RL,23,188,197,France,Paris Saint-Germain,13,13,18,17,18,12,7,13,4,4,15,18,4,17,6,17,12,18,14,15,15,15,18,13,18,3,10,10,20,16,15,8,15,20,14,11,15,7,16,7,14,2,2,2,1,1,2,1,3,2,1,2,15,20,8,14,16,16,12,13,1,1,1,1,1,1,1,10,1,10,19,1,17,20,178,73,10,20,347975206,9398,9398,9248,African_Caribbean,172,13,1998-12-20,57,27,1035616.0,,85139014,1998-12-20 Kylian Mbappé
3,271687,Kikín,José Antonio Ángel García,RB,61,74,750000.0,2000.0,2003-01-20,185,1968,Cádiz,53,La Liga,RES,35,45,Spain,Right,53,34,48,42,29,66,42,39,36,45,72,71,75,60,66,29,59,55,47,34,59,60,64,37,39,45,58,67,64,12,12,13,14,5,49,49,49,54,51,51,51,54,50,50,50,53,48,48,48,53,58,53,53,53,58,59,57,57,57,59,16,2003-01-20 Kikín,1998-12-20 Kylian Mbappé,Kylian Mbappé,AM/S RL,23,188,197,France,Paris Saint-Germain,13,13,18,17,18,12,7,13,4,4,15,18,4,17,6,17,12,18,14,15,15,15,18,13,18,3,10,10,20,16,15,8,15,20,14,11,15,7,16,7,14,2,2,2,1,1,2,1,3,2,1,2,15,20,8,14,16,16,12,13,1,1,1,1,1,1,1,10,1,10,19,1,17,20,178,73,10,20,347975206,9398,9398,9248,African_Caribbean,172,13,1998-12-20,57,27,1035616.0,,85139014,1998-12-20 Kylian Mbappé
4,158023,L. Messi,Lionel Andrés Messi Cuccittini,RW,91,91,54000000.0,195000.0,1987-06-24,169,73,Paris Saint Germain,16,Ligue 1,RW,30,52,Argentina,Left,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,87,87,87,90,91,91,91,90,92,92,92,89,85,85,85,89,64,63,63,63,64,59,50,50,50,59,19,1987-06-24 L. Messi,1987-06-24 Lionel Messi,Lionel Messi,AM/S RC,35,180,200,"Argentina,Spain",Paris Saint-Germain,15,15,20,17,19,18,10,16,4,4,19,17,7,20,7,17,10,16,11,20,18,20,20,14,13,5,12,7,15,15,18,6,14,15,12,9,16,9,18,6,12,2,2,3,2,2,2,2,1,3,1,3,17,18,5,17,19,17,15,14,1,1,1,1,1,1,1,8,12,8,11,19,20,19,169,67,20,12,43973205,9374,9359,9267,Mediterranean_Hispanic,172,3,1987-06-24,162,86,776712.0,,7458500,1987-06-24 Lionel Messi
5,165153,K. Benzema,Karim Benzema,CF,91,91,64000000.0,450000.0,1987-12-19,185,243,Real Madrid,53,La Liga,CF,9,18,France,Right,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,89,89,89,87,89,89,89,87,88,88,88,86,81,81,81,86,64,64,64,64,64,60,55,55,55,60,18,1987-12-19 K. Benzema,1987-12-19 Karim Benzema,Karim Benzema,S,34,185,185,"France,Algeria",R. Madrid,10,13,16,17,20,12,15,12,7,7,18,15,9,20,7,14,10,18,14,18,17,18,17,11,15,12,16,14,15,14,15,11,11,15,14,14,14,4,15,8,8,3,1,2,3,3,1,2,4,1,2,2,15,14,17,12,15,15,17,18,1,1,1,1,1,1,1,1,1,1,13,12,8,20,185,82,17,20,102955257,9250,8750,8750,North_African__Middle_Eastern,183,9,1987-12-19,97,37,321918.0,,8435089,1987-12-19 Karim Benzema
6,178086,Adán,Antonio Adán Garrido,GK,81,81,2900000.0,9000.0,1987-05-13,190,237,Sporting CP,308,Liga Portugal,GK,1,45,Spain,Left,12,11,23,34,15,12,11,12,43,15,56,54,55,76,51,59,71,32,77,12,41,20,11,42,25,63,20,14,18,79,82,78,83,80,31,31,31,27,29,29,29,27,30,30,30,29,31,31,31,29,28,32,32,32,28,29,32,32,32,29,80,1987-05-13 Adán,1987-12-19 Karim Benzema,Karim Benzema,S,34,185,185,"France,Algeria",R. Madrid,10,13,16,17,20,12,15,12,7,7,18,15,9,20,7,14,10,18,14,18,17,18,17,11,15,12,16,14,15,14,15,11,11,15,14,14,14,4,15,8,8,3,1,2,3,3,1,2,4,1,2,2,15,14,17,12,15,15,17,18,1,1,1,1,1,1,1,1,1,1,13,12,8,20,185,82,17,20,102955257,9250,8750,8750,North_African__Middle_Eastern,183,9,1987-12-19,97,37,321918.0,,8435089,1987-12-19 Karim Benzema
7,216815,Flávio,Flávio da Silva Ramos,CB,67,69,1000000.0,4000.0,1994-05-12,191,1892,Paços de Ferreira,308,Liga Portugal,RCB,32,54,Brazil,Right,29,24,69,56,20,42,29,25,38,45,42,52,37,65,38,43,76,55,80,30,75,66,23,30,35,62,61,68,66,14,10,14,11,11,44,44,44,40,41,41,41,40,41,41,41,42,46,46,46,42,55,58,58,58,55,57,67,67,67,57,18,1994-05-12 Flávio,1987-12-19 Karim Benzema,Karim Benzema,S,34,185,185,"France,Algeria",R. Madrid,10,13,16,17,20,12,15,12,7,7,18,15,9,20,7,14,10,18,14,18,17,18,17,11,15,12,16,14,15,14,15,11,11,15,14,14,14,4,15,8,8,3,1,2,3,3,1,2,4,1,2,2,15,14,17,12,15,15,17,18,1,1,1,1,1,1,1,1,1,1,13,12,8,20,185,82,17,20,102955257,9250,8750,8750,North_African__Middle_Eastern,183,9,1987-12-19,97,37,321918.0,,8435089,1987-12-19 Karim Benzema
8,188545,R. Lewandowski,Robert Lewandowski,ST,91,91,84000000.0,420000.0,1988-08-21,185,241,FC Barcelona,53,La Liga,ST,9,37,Poland,Right,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,89,89,89,85,88,88,88,85,85,85,85,83,80,80,80,83,64,66,66,66,64,61,60,60,60,61,19,1988-08-21 R. Lewandowski,1988-08-21 Robert Lewandowski,Robert Lewandowski,S,33,186,190,Poland,Barcelona,3,8,13,19,18,15,17,12,3,7,13,20,7,16,15,19,16,17,17,13,17,20,14,15,19,7,12,12,14,13,19,15,20,14,18,16,18,8,15,2,8,2,2,3,2,3,2,3,3,2,1,1,15,20,15,10,16,18,10,11,1,1,1,1,1,1,1,1,1,1,10,12,8,20,185,81,13,20,347975206,9300,9400,9250,Northern_European,183,3,1988-08-21,132,76,345204.0,,719601,1988-08-21 Robert Lewandowski
9,239207,M. Gómez,Maximiliano Gómez González,ST,78,80,18000000.0,40000.0,1996-08-14,186,436,Trabzonspor,68,Super Lig,ST,30,60,Uruguay,Right,59,80,87,73,75,72,75,57,64,76,63,63,66,78,56,81,83,78,88,73,74,21,82,70,72,80,35,20,23,7,8,13,12,6,78,78,78,72,75,75,75,72,73,73,73,72,68,68,68,72,53,54,54,54,53,50,50,50,50,50,16,1996-08-14 M. Gómez,1988-08-21 Robert Lewandowski,Robert Lewandowski,S,33,186,190,Poland,Barcelona,3,8,13,19,18,15,17,12,3,7,13,20,7,16,15,19,16,17,17,13,17,20,14,15,19,7,12,12,14,13,19,15,20,14,18,16,18,8,15,2,8,2,2,3,2,3,2,3,3,2,1,1,15,20,15,10,16,18,10,11,1,1,1,1,1,1,1,1,1,1,10,12,8,20,185,81,13,20,347975206,9300,9400,9250,Northern_European,183,3,1988-08-21,132,76,345204.0,,719601,1988-08-21 Robert Lewandowski
