,Name,Overall,Potential,Performance,Country,Club,Preferred Foot,Weak Foot,Skill Moves,Height,Offensive Work Rate,Defensive Work Rate,Value,Wage,ID,Crosses,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,Goalkeeping Diving,Goalkeeping Handling,Goalkeeping Kicking,Goalkeeping Positioning,Goalkeeping Reflexes,player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
0,K. Mbappé,91,95,93.0,France,Paris Saint-Germain,Right,4,5,182,High,Low,€190.5M,€230K,231747,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,231747,/player/231747/kylian-mbappe/230002,23.0,2.0,2022-09-26,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,95,190500000.0,230000.0,23,1998-12-20,182,73,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,ST,7.0,,2018-07-01,2024.0,18,France,1335.0,LS,10.0,Right,4,5,4,High/Low,Unique,Yes,366700000.0,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",97.0,89.0,80.0,92.0,36.0,76.0,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88.0,26,34,32,13,5,7,11,6,,89+3,89+3,89+3,90,90,90,90,90,89+3,89+3,89+3,89+3,81+3,81+3,81+3,89+3,67+3,63+3,63+3,63+3,67+3,63+3,54+3,54+3,54+3,63+3,18+3
1,R. Lewandowski,91,91,91.0,Poland,FC Barcelona,Right,4,4,185,High,Medium,€84M,€420K,188545,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,188545,/player/188545/robert-lewandowski/230002,23.0,2.0,2022-09-26,R. Lewandowski,Robert Lewandowski,ST,91,91,84000000.0,420000.0,33,1988-08-21,185,81,241.0,FC Barcelona,53.0,La Liga,1.0,ST,9.0,,2022-07-18,2025.0,37,Poland,1353.0,ST,9.0,Right,4,4,5,High/Medium,Unique,Yes,172200000.0,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",75.0,91.0,79.0,86.0,44.0,83.0,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88.0,35,42,19,15,6,12,8,10,,89+2,89+2,89+2,85,88,88,88,85,85+3,85+3,85+3,83+3,80+3,80+3,80+3,83+3,64+3,66+3,66+3,66+3,64+3,61+3,60+3,60+3,60+3,61+3,19+3
2,K. Benzema,91,91,91.0,France,Real Madrid CF,Right,4,4,185,Medium,Medium,€64M,€450K,165153,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,165153,/player/165153/karim-benzema/230002,23.0,2.0,2022-09-26,K. Benzema,Karim Benzema,"CF, ST",91,91,64000000.0,450000.0,34,1987-12-19,185,81,243.0,Real Madrid,53.0,La Liga,1.0,CF,9.0,,2009-07-09,2023.0,18,France,1335.0,RS,19.0,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,131200000.0,"#Poacher, #Clinical Finisher","Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",80.0,88.0,83.0,87.0,39.0,78.0,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90.0,43,24,18,13,11,5,5,7,,89+2,89+2,89+2,87,89,89,89,87,88+3,88+3,88+3,86+3,81+3,81+3,81+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3
3,L. Messi,91,91,91.0,Argentina,Paris Saint-Germain,Left,4,4,169,Low,Low,€54M,€195K,158023,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,158023,/player/158023/lionel-messi/230002,23.0,2.0,2022-09-26,L. Messi,Lionel Andrés Messi Cuccittini,RW,91,91,54000000.0,195000.0,35,1987-06-24,169,67,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,RW,30.0,,2021-08-10,2023.0,52,Argentina,1369.0,RW,10.0,Left,4,4,5,Low/Low,Unique,Yes,99900000.0,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",81.0,89.0,90.0,94.0,34.0,64.0,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96.0,20,35,24,6,11,15,14,8,,87+3,87+3,87+3,90,91,91,91,90,92-1,92-1,92-1,89+2,85+3,85+3,85+3,89+2,64+3,63+3,63+3,63+3,64+3,59+3,50+3,50+3,50+3,59+3,19+3
4,K. De Bruyne,91,91,91.0,Belgium,Manchester City,Right,5,4,181,High,High,€107.5M,€350K,192985,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,89,68,65,53,15,13,5,10,13,192985,/player/192985/kevin-de-bruyne/230002,23.0,2.0,2022-09-26,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,107500000.0,350000.0,31,1991-06-28,181,70,10.0,Manchester City,13.0,Premier League,1.0,RCM,17.0,,2015-08-30,2025.0,7,Belgium,1325.0,RF,7.0,Right,5,4,4,High/High,Unique,Yes,198900000.0,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder","Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",74.0,88.0,93.0,87.0,64.0,77.0,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,89.0,68,65,53,15,13,5,10,13,,83+3,83+3,83+3,88,87,87,87,88,89+2,89+2,89+2,88+3,89+2,89+2,89+2,88+3,79+3,79+3,79+3,79+3,79+3,75+3,69+3,69+3,69+3,75+3,21+3
5,E. Haaland,88,94,91.0,Norway,Manchester City,Left,3,3,195,High,Medium,€148M,€220K,239085,47,94,79,74,88,78,77,62,53,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76,85,44,53,29,7,14,13,11,7,239085,/player/239085/erling-haaland/230002,23.0,2.0,2022-09-26,E. Haaland,Erling Braut Haaland,ST,88,94,148000000.0,220000.0,21,2000-07-21,195,94,10.0,Manchester City,13.0,Premier League,1.0,ST,9.0,,2022-07-01,2027.0,36,Norway,1352.0,ST,9.0,Left,3,3,4,High/Medium,Unique,Yes,303400000.0,"#Aerial Threat, #Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward","Injury Prone, Speed Dribbler (AI), Power Header",89.0,91.0,65.0,80.0,49.0,87.0,47,94,79,74,88,78,77,62,53,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76,85.0,44,53,29,7,14,13,11,7,,87+3,87+3,87+3,80,84,84,84,80,80+3,80+3,80+3,77+3,73+3,73+3,73+3,77+3,62+3,64+3,64+3,64+3,62+3,61+3,62+3,62+3,62+3,61+3,19+3
6,T. Courtois,90,91,90.5,Belgium,Real Madrid CF,Left,3,1,199,Medium,Medium,€90M,€250K,192119,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,75,89,90,192119,/player/192119/thibaut-courtois/230002,23.0,2.0,2022-09-26,T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,91,90000000.0,250000.0,30,1992-05-11,199,96,243.0,Real Madrid,53.0,La Liga,1.0,GK,1.0,,2018-08-09,2026.0,7,Belgium,1325.0,GK,1.0,Left,3,1,4,Medium/Medium,Unique,Yes,191300000.0,,"GK Long Throw, Comes For Crosses",,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,66.0,20,18,16,84,89,75,89,90,46.0,31+3,31+3,31+3,29,31,31,31,29,32+3,32+3,32+3,31+3,32+3,32+3,32+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,87+3
7,J. Oblak,89,91,90.0,Slovenia,Atlético de Madrid,Right,3,1,188,Medium,Medium,€85.5M,€100K,200389,13,11,15,43,13,12,13,14,40,30,43,58,65,87,49,59,77,41,78,12,34,21,11,65,11,68,27,12,18,86,90,78,87,89,200389,/player/200389/jan-oblak/230002,23.0,2.0,2022-09-26,J. Oblak,Jan Oblak,GK,89,91,85500000.0,100000.0,29,1993-01-07,188,87,240.0,Atlético Madrid,53.0,La Liga,1.0,GK,13.0,,2014-07-16,2023.0,44,Slovenia,,,,Right,3,1,5,Medium/Medium,Unique,Yes,181700000.0,,"Solid Player, GK Long Throw, Comes For Crosses",,,,,,,13,11,15,43,13,12,13,14,40,30,43,58,65,87,49,59,77,41,78,12,34,21,11,65,11,68.0,27,12,18,86,90,78,87,89,49.0,33+3,33+3,33+3,32,35,35,35,32,38+3,38+3,38+3,34+3,38+3,38+3,38+3,34+3,32+3,37+3,37+3,37+3,32+3,32+3,33+3,33+3,33+3,32+3,87+3
8,M. Salah,90,90,90.0,Egypt,Liverpool,Left,3,4,175,High,Medium,€115.5M,€270K,209331,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,209331,/player/209331/mohamed-salah/230002,23.0,2.0,2022-09-26,M. Salah,Mohamed Salah Ghaly,RW,90,90,115500000.0,270000.0,30,1992-06-15,175,71,9.0,Liverpool,13.0,Premier League,1.0,RW,11.0,,2017-07-01,2023.0,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,Yes,213700000.0,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90.0,89.0,82.0,90.0,45.0,75.0,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,92.0,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,88,88,88,88,88,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3
9,V. van Dijk,90,90,90.0,Netherlands,Liverpool,Right,3,2,193,Medium,High,€98M,€230K,203376,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,90,92,92,86,13,10,13,11,11,203376,/player/203376/virgil-van-dijk/230002,23.0,2.0,2022-09-26,V. van Dijk,Virgil van Dijk,CB,90,90,98000000.0,230000.0,30,1991-07-08,193,92,9.0,Liverpool,13.0,Premier League,1.0,LCB,4.0,,2018-01-01,2025.0,34,Netherlands,105035.0,CB,4.0,Right,3,2,4,Medium/High,Unique,Yes,181300000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",81.0,60.0,71.0,72.0,91.0,86.0,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,90.0,92,92,86,13,10,13,11,11,,71+3,71+3,71+3,68,70,70,70,68,70+3,70+3,70+3,70+3,76+3,76+3,76+3,70+3,80+3,85+3,85+3,85+3,80+3,82+3,89+1,89+1,89+1,82+3,20+3
