UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best_Role,Best Duty,Best_Pos,Acceleration,Aerial_Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command_of_Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Determination,Dribbling,Eccentricity,Finishing,First_Touch,Flair,Free_Kick_Taking,Handling,Heading,Jumping_Reach,Kicking,Leadership,Long_Shots,Long_Throws,Marking,Natural_Fitness,Off_the_Ball,One_on_Ones,Pace,Passing,Penalty_Taking,Positioning,Punching,Reflexes,Rushing_Out,Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work_Rate,Club_id,League_id,Min_Value,Max_Value,Market_Value,Player_Role,Pos_Rank,gk,tpr_general,tpr,tpr_DM,tpr_AML,tpr_AMC,tpr_GK,tpr_MC,tpr_DC,tpr_AMR,tpr_DL,tpr_DR,tpr_ST,tpr_ML,tpr_MR,tpr_WBR,tpr_WBL,tpr_Best,fbref_player_name,Predicted_Market_Value,Predicted_Wage
92039023,,Joshua Kimmich,1995-02-08,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"DR,WBR,DM,MC",177,75 kg,27,96000000 - 119000000,1496000,253,23,,68,14,Leader,-,Deep Lying Playmaker,Defend,DM,64,4,74,59,74,64,74,9,9,84,69,74,84,79,99,59,14,54,74,64,64,14,54,49,4,79,69,29,64,99,59,4,59,89,49,64,14,9,14,99,54,59,84,79,4,89,94,3704,185,96000000.0,119000000.0,132205860.0,DM_Deep Lying Playmaker,6,20,72,88,99,44,54,21,97,56,44,49,99,42,47,47,99,50,72,Joshua Kimmich,132205860,574047
85100467,,Sadio Mané,1992-04-10,SEN,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"AMR,AML,AMC,ST",174,69 kg,30,100000000 - 124000000,1537000,348,144,Main,87,6,Leader,-,Inverted Winger,Support,AML,79,4,69,79,84,79,74,14,14,74,69,54,69,69,74,79,4,74,79,79,39,14,69,59,9,64,59,14,39,84,89,19,74,69,64,49,14,4,9,69,54,49,79,84,4,69,84,3704,185,100000000.0,124000000.0,126462511.0,AML_Inverted Winger,13,19,70,87,44,97,96,21,53,41,96,58,45,94,82,59,55,71,71,Sadio Mané,126462511,578998
35011448,,Thomas Müller,1989-09-13,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MR,AMR,AMC,ST",185,76 kg,32,,1454000,450,153,,115,6,Leader,-,Advanced Playmaker,Support,AMC,59,14,84,59,99,64,64,9,9,79,79,54,84,79,89,54,19,64,64,64,34,4,69,64,9,84,49,39,44,99,99,4,69,79,64,54,4,4,9,94,54,54,99,64,9,89,84,3704,185,,,117372915.0,AMC_Advanced Playmaker,9,18,71,88,53,77,98,21,73,42,97,43,43,95,70,97,48,48,72,Thomas Müller,117372915,548507
8718372,,Manuel Neuer,1986-03-27,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,GK,193,93 kg,36,,1496000,489,-,,112,20,Distributor,-,Sweeper Keeper,Attack,GK,54,74,64,64,79,69,74,79,69,99,74,9,29,74,89,59,89,34,59,59,39,69,54,84,89,89,34,59,44,94,64,79,54,74,64,79,39,79,99,59,79,54,64,59,89,74,79,3704,185,,,115145609.0,GK_Sweeper Keeper,0,75,64,92,41,41,42,99,41,41,42,42,42,42,41,41,41,41,75,Manuel Neuer,115145609,564726
91104807,Inj,Leon Goretzka,1995-02-06,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,"DM,MC,AMC",189,82 kg,27,72000000 - 90000000,1163000,246,40,,44,10,Leader,-,Box To Box Midfielder,Support,MC,59,9,69,54,84,74,79,4,4,79,74,24,54,74,89,59,14,69,74,59,29,4,74,79,4,74,74,29,59,59,89,9,74,74,54,64,4,9,14,84,84,74,84,74,4,74,89,3704,185,72000000.0,90000000.0,103593875.0,MC_Box To Box Midfielder,7,17,69,85,96,57,95,21,95,46,57,47,49,43,61,55,52,59,69,Leon Goretzka,103593875,449375
37055843,,Matthijs de Ligt,1999-08-12,NED,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Reasonable,DC,189,89 kg,22,106000000 - 132000000,1330000,181,17,Main,37,-,Leader,-,Ball Playing Defender,Defend,DC,59,19,79,59,69,74,89,4,4,74,64,29,34,69,79,54,9,39,64,49,49,14,79,74,14,84,49,24,74,64,39,14,64,69,39,74,4,4,9,74,89,79,74,69,4,64,74,3704,185,106000000.0,132000000.0,125790086.0,DC_Ball Playing Defender,3,17,63,83,62,41,41,21,45,95,42,63,64,42,44,45,47,48,67,Matthijs de Ligt,125790086,513649
91138280,Wnt,Leroy Sané,1996-01-11,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"MR,ML,AMR,AML,AMC",183,80 kg,26,63000000 - 97000000,1413000,201,49,,45,10,Creative,-,Inverted Winger,Attack,AMR,84,14,64,79,74,69,44,19,9,64,59,69,74,69,54,89,4,69,74,79,79,14,34,49,14,19,79,14,34,74,74,9,89,69,54,39,4,9,9,64,54,39,54,84,14,74,44,3704,185,63000000.0,97000000.0,118161973.0,AMR_Inverted Winger,11,20,64,81,44,92,91,21,52,41,92,43,51,58,93,92,68,47,65,Leroy Sané,118161973,527795
28066083,,Serge Gnabry,1995-07-14,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Either,Very Strong,Strong,"MR,ML,AMR,AML,ST",176,77 kg,26,66000000 - 82000000,1330000,183,68,,34,15,Creative,-,Inside Forward,Attack,AML,79,14,54,74,79,79,59,9,14,69,59,59,59,59,59,74,9,74,69,79,54,4,49,39,4,24,79,29,39,64,84,4,74,64,49,39,4,4,9,64,59,44,59,74,14,69,59,3704,185,66000000.0,82000000.0,110959688.0,AML_Inside Forward,13,17,63,80,43,91,65,21,51,41,91,56,44,88,93,90,53,67,64,Serge Gnabry,110959688,496167
20041862,,Alphonso Davies,2000-11-02,CAN,Bundesliga,FC Bayern,Germany (Bundesliga),Left,Reasonable,Very Strong,"DL,WBL,ML,AML",185,77 kg,21,68000000 - 101000000,831000,162,18,Main,32,-,Physical,-,Wing-Back,Attack,DL,94,4,74,69,59,59,74,19,9,59,59,29,59,59,84,84,4,44,59,79,29,9,29,49,9,34,49,59,59,79,69,9,94,64,49,59,19,4,14,79,59,69,74,69,9,59,79,3704,185,68000000.0,101000000.0,88622968.0,DL_Wing-Back,4,17,63,80,44,89,42,20,43,51,44,94,63,41,92,52,63,94,64,Alphonso Davies,88622968,333701
28124579,,Jamal Musiala,2003-02-26,GER,Bundesliga,FC Bayern,Germany (Bundesliga),Right,Very Strong,Fairly Strong,"MC,AMR,AML,AMC",183,70 kg,19,71000000 - 89000000,457000,67,13,,15,-,Technical,-,Inverted Winger,Attack,AML,74,14,59,84,69,74,59,4,4,64,59,34,39,64,79,89,4,64,79,89,29,9,44,49,4,29,64,29,54,79,69,4,74,69,59,54,14,14,14,59,44,59,74,89,4,74,74,3704,185,71000000.0,89000000.0,70036449.0,AML_Inverted Winger,13,18,64,81,43,92,91,21,90,41,92,56,44,59,78,57,54,68,65,Jamal Musiala,70036449,211295
