,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,GK
Aggression,0.028047921071176887,0.029815781066979023,0.029955471596275807,0.02247191011235955,0.03058823529411765,0.02701298701298701,0.027046783625730996,0.025879917184265015,0.02584670231729055,0.0,0.024657534246575342,0.024423914197727516,0.027769012306721363,0.0
Anticipation,0.030303030303030304,0.054307315514854654,0.030360275266495748,0.02696629213483146,0.02823529411764706,0.05558441558441558,0.03216374269005848,0.030952380952380957,0.031342840166369575,0.030789825970548863,0.031506849315068496,0.03260061590740151,0.04870095718943937,0.0
Bravery,0.02959830866807611,0.05356192098818017,0.029820537039535824,0.02247191011235955,0.02588235294117647,0.02784415584415584,0.02631578947368421,0.02846790890269152,0.02510398098633393,0.028112449799196786,0.028082191780821917,0.02548582351067219,0.030503839276322713,0.0
Composure,0.02945736434108527,0.031626024917474176,0.02887599514235596,0.030337078651685393,0.02588235294117647,0.04633766233766233,0.031432748538011694,0.02971014492753624,0.030154486036838977,0.029004908522980814,0.05410958904109589,0.0310077519379845,0.03197643841380036,0.0
Concentration,0.028047921071176887,0.03151953998509211,0.028471191472136014,0.02696629213483146,0.023529411764705882,0.029610389610389608,0.023391812865497075,0.02743271221532092,0.026440879382055853,0.02632753235162874,0.0273972602739726,0.027184878411383673,0.02871568318081414,0.0
Decisions,0.029034531360112754,0.03183899478223831,0.029685602482795843,0.029213483146067417,0.02823529411764706,0.031168831168831165,0.029239766081871347,0.030434782608695657,0.027629233511586453,0.027219991075412762,0.03219178082191781,0.031113942869278967,0.030083096665614813,0.0
Determination,0.052149400986610285,0.05505271004152912,0.05302928079881258,0.033707865168539325,0.03294117647058824,0.030857142857142854,0.02850877192982456,0.04906832298136647,0.03074866310160428,0.03435966086568496,0.03013698630136986,0.04576829138791547,0.056800252445566426,0.0
Flair,0.026638477801268497,0.02204238100308806,0.024827958440156523,0.052808988764044947,0.06117647058823529,0.025766233766233763,0.05482456140350877,0.05155279503105592,0.046939988116458706,0.06024096385542169,0.028767123287671233,0.05798024848677923,0.03029346797096876,0.0
Leadership,0.02283298097251586,0.03301032903844106,0.0,0.0,0.023529411764705882,0.025558441558441558,0.0,0.026501035196687377,0.0,0.02632753235162874,0.0,0.0,0.02661197012727464,0.0
Off_the_Ball,0.05059901338971106,0.02055159194973911,0.027526649574956145,0.033707865168539325,0.02823529411764706,0.027948051948051944,0.05994152046783626,0.03115942028985508,0.0510992275698158,0.03346720214190094,0.05205479452054794,0.0541573749601784,0.051015041548332814,0.0
