x_interval,y_interval,count,percentage,Pitch_Number
"(0.0, 10.0)","(0.0, 10.0)",4,0.429,1
"(0.0, 10.0)","(10.0, 20.0)",2,0.214,2
"(0.0, 10.0)","(20.0, 30.0)",15,1.608,3
"(0.0, 10.0)","(30.0, 40.0)",13,1.393,4
"(0.0, 10.0)","(40.0, 50.0)",6,0.643,5
"(0.0, 10.0)","(50.0, 60.0)",11,1.179,6
"(0.0, 10.0)","(60.0, 70.0)",11,1.179,7
"(0.0, 10.0)","(70.0, 80.0)",28,3.001,8
"(0.0, 10.0)","(80.0, 90.0)",23,2.465,9
"(0.0, 10.0)","(90.0, 100.0)",15,1.608,10
"(0.0, 10.0)","(100.0, 110.0)",13,1.393,11
"(0.0, 10.0)","(110.0, 120.0)",11,1.179,12
"(10.0, 20.0)","(0.0, 10.0)",2,0.214,13
"(10.0, 20.0)","(10.0, 20.0)",5,0.536,14
"(10.0, 20.0)","(20.0, 30.0)",9,0.965,15
"(10.0, 20.0)","(30.0, 40.0)",3,0.322,16
"(10.0, 20.0)","(40.0, 50.0)",12,1.286,17
"(10.0, 20.0)","(50.0, 60.0)",7,0.75,18
"(10.0, 20.0)","(60.0, 70.0)",9,0.965,19
"(10.0, 20.0)","(70.0, 80.0)",14,1.501,20
"(10.0, 20.0)","(80.0, 90.0)",15,1.608,21
"(10.0, 20.0)","(90.0, 100.0)",22,2.358,22
"(10.0, 20.0)","(100.0, 110.0)",18,1.929,23
"(10.0, 20.0)","(110.0, 120.0)",14,1.501,24
"(20.0, 30.0)","(0.0, 10.0)",3,0.322,25
"(20.0, 30.0)","(10.0, 20.0)",3,0.322,26
"(20.0, 30.0)","(20.0, 30.0)",4,0.429,27
"(20.0, 30.0)","(30.0, 40.0)",3,0.322,28
"(20.0, 30.0)","(40.0, 50.0)",4,0.429,29
"(20.0, 30.0)","(50.0, 60.0)",4,0.429,30
"(20.0, 30.0)","(60.0, 70.0)",8,0.857,31
"(20.0, 30.0)","(70.0, 80.0)",10,1.072,32
"(20.0, 30.0)","(80.0, 90.0)",13,1.393,33
"(20.0, 30.0)","(90.0, 100.0)",26,2.787,34
"(20.0, 30.0)","(100.0, 110.0)",34,3.644,35
"(20.0, 30.0)","(110.0, 120.0)",24,2.572,36
"(30.0, 40.0)","(0.0, 10.0)",0,0.0,37
