Pitch_Number,count,x_interval,y_interval,percentage,alpha
1,14.0,"(0.0, 5.0)","(0.0, 5.0)",0.0003570153516601214,0.038781163434903045
2,40.0,"(0.0, 5.0)","(5.0, 10.0)",0.001020043861886061,0.11080332409972299
3,51.0,"(0.0, 5.0)","(10.0, 15.0)",0.001300555923904728,0.14127423822714683
4,55.0,"(0.0, 5.0)","(15.0, 20.0)",0.001402560310093334,0.1523545706371191
5,68.0,"(0.0, 5.0)","(20.0, 25.0)",0.0017340745652063038,0.1883656509695291
6,90.0,"(0.0, 5.0)","(25.0, 30.0)",0.0022950986892436376,0.24930747922437674
7,81.0,"(0.0, 5.0)","(30.0, 35.0)",0.0020655888203192736,0.22437673130193905
8,76.0,"(0.0, 5.0)","(35.0, 40.0)",0.001938083337583516,0.21052631578947367
9,107.0,"(0.0, 5.0)","(40.0, 45.0)",0.0027286173305452136,0.296398891966759
10,117.0,"(0.0, 5.0)","(45.0, 50.0)",0.002983628296016729,0.32409972299168976
11,90.0,"(0.0, 5.0)","(50.0, 55.0)",0.0022950986892436376,0.24930747922437674
12,139.0,"(0.0, 5.0)","(55.0, 60.0)",0.0035446524200540624,0.3850415512465374
13,143.0,"(0.0, 5.0)","(60.0, 65.0)",0.0036466568062426684,0.3961218836565097
14,113.0,"(0.0, 5.0)","(65.0, 70.0)",0.002881623909828123,0.31301939058171746
15,127.0,"(0.0, 5.0)","(70.0, 75.0)",0.003238639261488244,0.3518005540166205
16,178.0,"(0.0, 5.0)","(75.0, 80.0)",0.004539195185392972,0.4930747922437673
17,149.0,"(0.0, 5.0)","(80.0, 85.0)",0.0037996633855255776,0.41274238227146814
18,121.0,"(0.0, 5.0)","(85.0, 90.0)",0.003085632682205335,0.33518005540166207
19,139.0,"(0.0, 5.0)","(90.0, 95.0)",0.0035446524200540624,0.3850415512465374
20,94.0,"(0.0, 5.0)","(95.0, 100.0)",0.0023971030754322436,0.26038781163434904
21,71.0,"(0.0, 5.0)","(100.0, 105.0)",0.0018105778548477584,0.19667590027700832
22,74.0,"(0.0, 5.0)","(105.0, 110.0)",0.001887081144489213,0.20498614958448755
23,45.0,"(0.0, 5.0)","(110.0, 115.0)",0.0011475493446218188,0.12465373961218837
24,178.0,"(0.0, 5.0)","(115.0, 120.0)",0.004539195185392972,0.4930747922437673
25,23.0,"(5.0, 10.0)","(0.0, 5.0)",0.0005865252205844851,0.06371191135734072
26,41.0,"(5.0, 10.0)","(5.0, 10.0)",0.0010455449584332126,0.11357340720221606
27,45.0,"(5.0, 10.0)","(10.0, 15.0)",0.0011475493446218188,0.12465373961218837
28,60.0,"(5.0, 10.0)","(15.0, 20.0)",0.0015300657928290916,0.16620498614958448
29,62.0,"(5.0, 10.0)","(20.0, 25.0)",0.0015810679859233948,0.17174515235457063
30,85.0,"(5.0, 10.0)","(25.0, 30.0)",0.00216759320650788,0.23545706371191136
31,78.0,"(5.0, 10.0)","(30.0, 35.0)",0.001989085530677819,0.21606648199445982
32,102.0,"(5.0, 10.0)","(35.0, 40.0)",0.002601111847809456,0.28254847645429365
33,145.0,"(5.0, 10.0)","(40.0, 45.0)",0.0036976589993369716,0.40166204986149584
34,148.0,"(5.0, 10.0)","(45.0, 50.0)",0.003774162288978426,0.4099722991689751
35,98.0,"(5.0, 10.0)","(50.0, 55.0)",0.0024991074616208496,0.27146814404432135
36,177.0,"(5.0, 10.0)","(55.0, 60.0)",0.00451369408884582,0.4903047091412742
37,174.0,"(5.0, 10.0)","(60.0, 65.0)",0.004437190799204366,0.481994459833795
38,146.0,"(5.0, 10.0)","(65.0, 70.0)",0.0037231600958841232,0.40443213296398894
39,132.0,"(5.0, 10.0)","(70.0, 75.0)",0.0033661447442240016,0.3656509695290859
