Pitch_Number,count,x_interval,y_interval,percentage,alpha
1,0.0,"(0.0, 5.0)","(0.0, 5.0)",0.0,0.0
2,0.0,"(0.0, 5.0)","(5.0, 10.0)",0.0,0.0
3,0.0,"(0.0, 5.0)","(10.0, 15.0)",0.0,0.0
4,0.0,"(0.0, 5.0)","(15.0, 20.0)",0.0,0.0
5,0.0,"(0.0, 5.0)","(20.0, 25.0)",0.0,0.0
6,0.0,"(0.0, 5.0)","(25.0, 30.0)",0.0,0.0
7,0.0,"(0.0, 5.0)","(30.0, 35.0)",0.0,0.0
8,0.0,"(0.0, 5.0)","(35.0, 40.0)",0.0,0.0
9,0.0,"(0.0, 5.0)","(40.0, 45.0)",0.0,0.0
10,0.0,"(0.0, 5.0)","(45.0, 50.0)",0.0,0.0
11,0.0,"(0.0, 5.0)","(50.0, 55.0)",0.0,0.0
12,0.0,"(0.0, 5.0)","(55.0, 60.0)",0.0,0.0
13,0.0,"(0.0, 5.0)","(60.0, 65.0)",0.0,0.0
14,0.0,"(0.0, 5.0)","(65.0, 70.0)",0.0,0.0
15,0.0,"(0.0, 5.0)","(70.0, 75.0)",0.0,0.0
16,0.0,"(0.0, 5.0)","(75.0, 80.0)",0.0,0.0
17,0.0,"(0.0, 5.0)","(80.0, 85.0)",0.0,0.0
18,0.0,"(0.0, 5.0)","(85.0, 90.0)",0.0,0.0
19,0.0,"(0.0, 5.0)","(90.0, 95.0)",0.0,0.0
20,0.0,"(0.0, 5.0)","(95.0, 100.0)",0.0,0.0
21,0.0,"(0.0, 5.0)","(100.0, 105.0)",0.0,0.0
22,0.0,"(0.0, 5.0)","(105.0, 110.0)",0.0,0.0
23,0.0,"(0.0, 5.0)","(110.0, 115.0)",0.0,0.0
24,0.0,"(0.0, 5.0)","(115.0, 120.0)",0.0,0.0
25,0.0,"(5.0, 10.0)","(0.0, 5.0)",0.0,0.0
26,0.0,"(5.0, 10.0)","(5.0, 10.0)",0.0,0.0
27,0.0,"(5.0, 10.0)","(10.0, 15.0)",0.0,0.0
28,0.0,"(5.0, 10.0)","(15.0, 20.0)",0.0,0.0
29,0.0,"(5.0, 10.0)","(20.0, 25.0)",0.0,0.0
30,0.0,"(5.0, 10.0)","(25.0, 30.0)",0.0,0.0
31,0.0,"(5.0, 10.0)","(30.0, 35.0)",0.0,0.0
32,0.0,"(5.0, 10.0)","(35.0, 40.0)",0.0,0.0
33,0.0,"(5.0, 10.0)","(40.0, 45.0)",0.0,0.0
34,0.0,"(5.0, 10.0)","(45.0, 50.0)",0.0,0.0
35,0.0,"(5.0, 10.0)","(50.0, 55.0)",0.0,0.0
36,0.0,"(5.0, 10.0)","(55.0, 60.0)",0.0,0.0
37,0.0,"(5.0, 10.0)","(60.0, 65.0)",0.0,0.0
38,0.0,"(5.0, 10.0)","(65.0, 70.0)",0.0,0.0
39,0.0,"(5.0, 10.0)","(70.0, 75.0)",0.0,0.0
40,0.0,"(5.0, 10.0)","(75.0, 80.0)",0.0,0.0
41,0.0,"(5.0, 10.0)","(80.0, 85.0)",0.0,0.0
42,0.0,"(5.0, 10.0)","(85.0, 90.0)",0.0,0.0
43,0.0,"(5.0, 10.0)","(90.0, 95.0)",0.0,0.0
44,0.0,"(5.0, 10.0)","(95.0, 100.0)",0.0,0.0
45,0.0,"(5.0, 10.0)","(100.0, 105.0)",0.0,0.0
46,0.0,"(5.0, 10.0)","(105.0, 110.0)",0.0,0.0
47,0.0,"(5.0, 10.0)","(110.0, 115.0)",0.0,0.0
48,0.0,"(5.0, 10.0)","(115.0, 120.0)",0.0,0.0
49,0.0,"(10.0, 15.0)","(0.0, 5.0)",0.0,0.0
50,0.0,"(10.0, 15.0)","(5.0, 10.0)",0.0,0.0
51,0.0,"(10.0, 15.0)","(10.0, 15.0)",0.0,0.0
52,0.0,"(10.0, 15.0)","(15.0, 20.0)",0.0,0.0
53,0.0,"(10.0, 15.0)","(20.0, 25.0)",0.0,0.0
54,0.0,"(10.0, 15.0)","(25.0, 30.0)",0.0,0.0
55,0.0,"(10.0, 15.0)","(30.0, 35.0)",0.0,0.0
56,0.0,"(10.0, 15.0)","(35.0, 40.0)",0.0,0.0
57,0.0,"(10.0, 15.0)","(40.0, 45.0)",0.0,0.0
58,0.0,"(10.0, 15.0)","(45.0, 50.0)",0.0,0.0
59,0.0,"(10.0, 15.0)","(50.0, 55.0)",0.0,0.0
60,0.0,"(10.0, 15.0)","(55.0, 60.0)",0.0,0.0
61,0.0,"(10.0, 15.0)","(60.0, 65.0)",0.0,0.0
62,0.0,"(10.0, 15.0)","(65.0, 70.0)",0.0,0.0
63,0.0,"(10.0, 15.0)","(70.0, 75.0)",0.0,0.0
64,0.0,"(10.0, 15.0)","(75.0, 80.0)",0.0,0.0
65,0.0,"(10.0, 15.0)","(80.0, 85.0)",0.0,0.0
66,0.0,"(10.0, 15.0)","(85.0, 90.0)",0.0,0.0
67,0.0,"(10.0, 15.0)","(90.0, 95.0)",0.0,0.0
68,0.0,"(10.0, 15.0)","(95.0, 100.0)",0.0,0.0
69,0.0,"(10.0, 15.0)","(100.0, 105.0)",0.0,0.0
70,0.0,"(10.0, 15.0)","(105.0, 110.0)",0.0,0.0
71,0.0,"(10.0, 15.0)","(110.0, 115.0)",0.0,0.0
72,0.0,"(10.0, 15.0)","(115.0, 120.0)",0.0,0.0
73,0.0,"(15.0, 20.0)","(0.0, 5.0)",0.0,0.0
74,0.0,"(15.0, 20.0)","(5.0, 10.0)",0.0,0.0
75,0.0,"(15.0, 20.0)","(10.0, 15.0)",0.0,0.0
76,0.0,"(15.0, 20.0)","(15.0, 20.0)",0.0,0.0
77,0.0,"(15.0, 20.0)","(20.0, 25.0)",0.0,0.0
78,0.0,"(15.0, 20.0)","(25.0, 30.0)",0.0,0.0
79,0.0,"(15.0, 20.0)","(30.0, 35.0)",0.0,0.0
80,0.0,"(15.0, 20.0)","(35.0, 40.0)",0.0,0.0
81,0.0,"(15.0, 20.0)","(40.0, 45.0)",0.0,0.0
82,0.0,"(15.0, 20.0)","(45.0, 50.0)",0.0,0.0
83,0.0,"(15.0, 20.0)","(50.0, 55.0)",0.0,0.0
84,0.0,"(15.0, 20.0)","(55.0, 60.0)",0.0,0.0
85,0.0,"(15.0, 20.0)","(60.0, 65.0)",0.0,0.0
86,0.0,"(15.0, 20.0)","(65.0, 70.0)",0.0,0.0
87,0.0,"(15.0, 20.0)","(70.0, 75.0)",0.0,0.0
88,0.0,"(15.0, 20.0)","(75.0, 80.0)",0.0,0.0
89,0.0,"(15.0, 20.0)","(80.0, 85.0)",0.0,0.0
90,0.0,"(15.0, 20.0)","(85.0, 90.0)",0.0,0.0
91,0.0,"(15.0, 20.0)","(90.0, 95.0)",0.0,0.0
92,1.0,"(15.0, 20.0)","(95.0, 100.0)",0.001091703056768559,0.019230769230769232
93,1.0,"(15.0, 20.0)","(100.0, 105.0)",0.001091703056768559,0.019230769230769232
94,1.0,"(15.0, 20.0)","(105.0, 110.0)",0.001091703056768559,0.019230769230769232
95,0.0,"(15.0, 20.0)","(110.0, 115.0)",0.0,0.0
96,0.0,"(15.0, 20.0)","(115.0, 120.0)",0.0,0.0
97,0.0,"(20.0, 25.0)","(0.0, 5.0)",0.0,0.0
98,0.0,"(20.0, 25.0)","(5.0, 10.0)",0.0,0.0
99,0.0,"(20.0, 25.0)","(10.0, 15.0)",0.0,0.0
100,0.0,"(20.0, 25.0)","(15.0, 20.0)",0.0,0.0
101,0.0,"(20.0, 25.0)","(20.0, 25.0)",0.0,0.0
102,0.0,"(20.0, 25.0)","(25.0, 30.0)",0.0,0.0
103,0.0,"(20.0, 25.0)","(30.0, 35.0)",0.0,0.0
104,0.0,"(20.0, 25.0)","(35.0, 40.0)",0.0,0.0
105,0.0,"(20.0, 25.0)","(40.0, 45.0)",0.0,0.0
106,0.0,"(20.0, 25.0)","(45.0, 50.0)",0.0,0.0
107,0.0,"(20.0, 25.0)","(50.0, 55.0)",0.0,0.0
108,0.0,"(20.0, 25.0)","(55.0, 60.0)",0.0,0.0
109,0.0,"(20.0, 25.0)","(60.0, 65.0)",0.0,0.0
110,0.0,"(20.0, 25.0)","(65.0, 70.0)",0.0,0.0
111,0.0,"(20.0, 25.0)","(70.0, 75.0)",0.0,0.0
112,0.0,"(20.0, 25.0)","(75.0, 80.0)",0.0,0.0
113,0.0,"(20.0, 25.0)","(80.0, 85.0)",0.0,0.0
114,1.0,"(20.0, 25.0)","(85.0, 90.0)",0.001091703056768559,0.019230769230769232
115,4.0,"(20.0, 25.0)","(90.0, 95.0)",0.004366812227074236,0.07692307692307693
116,5.0,"(20.0, 25.0)","(95.0, 100.0)",0.0054585152838427945,0.09615384615384616
117,7.0,"(20.0, 25.0)","(100.0, 105.0)",0.007641921397379912,0.1346153846153846
118,8.0,"(20.0, 25.0)","(105.0, 110.0)",0.008733624454148471,0.15384615384615385
119,3.0,"(20.0, 25.0)","(110.0, 115.0)",0.0032751091703056767,0.057692307692307696
120,0.0,"(20.0, 25.0)","(115.0, 120.0)",0.0,0.0
121,0.0,"(25.0, 30.0)","(0.0, 5.0)",0.0,0.0
122,0.0,"(25.0, 30.0)","(5.0, 10.0)",0.0,0.0
123,0.0,"(25.0, 30.0)","(10.0, 15.0)",0.0,0.0
124,0.0,"(25.0, 30.0)","(15.0, 20.0)",0.0,0.0
125,0.0,"(25.0, 30.0)","(20.0, 25.0)",0.0,0.0
126,0.0,"(25.0, 30.0)","(25.0, 30.0)",0.0,0.0
127,0.0,"(25.0, 30.0)","(30.0, 35.0)",0.0,0.0
128,0.0,"(25.0, 30.0)","(35.0, 40.0)",0.0,0.0
129,0.0,"(25.0, 30.0)","(40.0, 45.0)",0.0,0.0
130,0.0,"(25.0, 30.0)","(45.0, 50.0)",0.0,0.0
131,0.0,"(25.0, 30.0)","(50.0, 55.0)",0.0,0.0
132,0.0,"(25.0, 30.0)","(55.0, 60.0)",0.0,0.0
133,0.0,"(25.0, 30.0)","(60.0, 65.0)",0.0,0.0
134,0.0,"(25.0, 30.0)","(65.0, 70.0)",0.0,0.0
135,0.0,"(25.0, 30.0)","(70.0, 75.0)",0.0,0.0
136,0.0,"(25.0, 30.0)","(75.0, 80.0)",0.0,0.0
137,0.0,"(25.0, 30.0)","(80.0, 85.0)",0.0,0.0
138,6.0,"(25.0, 30.0)","(85.0, 90.0)",0.006550218340611353,0.11538461538461539
139,14.0,"(25.0, 30.0)","(90.0, 95.0)",0.015283842794759825,0.2692307692307692
140,8.0,"(25.0, 30.0)","(95.0, 100.0)",0.008733624454148471,0.15384615384615385
141,26.0,"(25.0, 30.0)","(100.0, 105.0)",0.028384279475982533,0.5
142,26.0,"(25.0, 30.0)","(105.0, 110.0)",0.028384279475982533,0.5
143,23.0,"(25.0, 30.0)","(110.0, 115.0)",0.025109170305676855,0.4423076923076923
144,4.0,"(25.0, 30.0)","(115.0, 120.0)",0.004366812227074236,0.07692307692307693
145,0.0,"(30.0, 35.0)","(0.0, 5.0)",0.0,0.0
146,0.0,"(30.0, 35.0)","(5.0, 10.0)",0.0,0.0
147,0.0,"(30.0, 35.0)","(10.0, 15.0)",0.0,0.0
148,0.0,"(30.0, 35.0)","(15.0, 20.0)",0.0,0.0
149,0.0,"(30.0, 35.0)","(20.0, 25.0)",0.0,0.0
150,0.0,"(30.0, 35.0)","(25.0, 30.0)",0.0,0.0
151,0.0,"(30.0, 35.0)","(30.0, 35.0)",0.0,0.0
152,0.0,"(30.0, 35.0)","(35.0, 40.0)",0.0,0.0
153,0.0,"(30.0, 35.0)","(40.0, 45.0)",0.0,0.0
154,0.0,"(30.0, 35.0)","(45.0, 50.0)",0.0,0.0
155,0.0,"(30.0, 35.0)","(50.0, 55.0)",0.0,0.0
156,1.0,"(30.0, 35.0)","(55.0, 60.0)",0.001091703056768559,0.019230769230769232
157,0.0,"(30.0, 35.0)","(60.0, 65.0)",0.0,0.0
158,0.0,"(30.0, 35.0)","(65.0, 70.0)",0.0,0.0
159,1.0,"(30.0, 35.0)","(70.0, 75.0)",0.001091703056768559,0.019230769230769232
160,0.0,"(30.0, 35.0)","(75.0, 80.0)",0.0,0.0
161,0.0,"(30.0, 35.0)","(80.0, 85.0)",0.0,0.0
162,6.0,"(30.0, 35.0)","(85.0, 90.0)",0.006550218340611353,0.11538461538461539
163,15.0,"(30.0, 35.0)","(90.0, 95.0)",0.016375545851528384,0.28846153846153844
164,22.0,"(30.0, 35.0)","(95.0, 100.0)",0.024017467248908297,0.4230769230769231
165,33.0,"(30.0, 35.0)","(100.0, 105.0)",0.036026200873362446,0.6346153846153846
166,24.0,"(30.0, 35.0)","(105.0, 110.0)",0.026200873362445413,0.46153846153846156
167,42.0,"(30.0, 35.0)","(110.0, 115.0)",0.04585152838427948,0.8076923076923077
168,12.0,"(30.0, 35.0)","(115.0, 120.0)",0.013100436681222707,0.23076923076923078
169,0.0,"(35.0, 40.0)","(0.0, 5.0)",0.0,0.0
170,0.0,"(35.0, 40.0)","(5.0, 10.0)",0.0,0.0
171,0.0,"(35.0, 40.0)","(10.0, 15.0)",0.0,0.0
172,0.0,"(35.0, 40.0)","(15.0, 20.0)",0.0,0.0
173,0.0,"(35.0, 40.0)","(20.0, 25.0)",0.0,0.0
174,0.0,"(35.0, 40.0)","(25.0, 30.0)",0.0,0.0
175,0.0,"(35.0, 40.0)","(30.0, 35.0)",0.0,0.0
176,0.0,"(35.0, 40.0)","(35.0, 40.0)",0.0,0.0
177,0.0,"(35.0, 40.0)","(40.0, 45.0)",0.0,0.0
178,0.0,"(35.0, 40.0)","(45.0, 50.0)",0.0,0.0
179,0.0,"(35.0, 40.0)","(50.0, 55.0)",0.0,0.0
180,0.0,"(35.0, 40.0)","(55.0, 60.0)",0.0,0.0
181,0.0,"(35.0, 40.0)","(60.0, 65.0)",0.0,0.0
182,0.0,"(35.0, 40.0)","(65.0, 70.0)",0.0,0.0
183,0.0,"(35.0, 40.0)","(70.0, 75.0)",0.0,0.0
184,0.0,"(35.0, 40.0)","(75.0, 80.0)",0.0,0.0
185,0.0,"(35.0, 40.0)","(80.0, 85.0)",0.0,0.0
186,5.0,"(35.0, 40.0)","(85.0, 90.0)",0.0054585152838427945,0.09615384615384616
187,16.0,"(35.0, 40.0)","(90.0, 95.0)",0.017467248908296942,0.3076923076923077
188,22.0,"(35.0, 40.0)","(95.0, 100.0)",0.024017467248908297,0.4230769230769231
189,22.0,"(35.0, 40.0)","(100.0, 105.0)",0.024017467248908297,0.4230769230769231
190,38.0,"(35.0, 40.0)","(105.0, 110.0)",0.04148471615720524,0.7307692307692307
191,41.0,"(35.0, 40.0)","(110.0, 115.0)",0.04475982532751092,0.7884615384615384
192,16.0,"(35.0, 40.0)","(115.0, 120.0)",0.017467248908296942,0.3076923076923077
193,0.0,"(40.0, 45.0)","(0.0, 5.0)",0.0,0.0
194,0.0,"(40.0, 45.0)","(5.0, 10.0)",0.0,0.0
195,0.0,"(40.0, 45.0)","(10.0, 15.0)",0.0,0.0
196,0.0,"(40.0, 45.0)","(15.0, 20.0)",0.0,0.0
197,0.0,"(40.0, 45.0)","(20.0, 25.0)",0.0,0.0
198,0.0,"(40.0, 45.0)","(25.0, 30.0)",0.0,0.0
199,0.0,"(40.0, 45.0)","(30.0, 35.0)",0.0,0.0
200,0.0,"(40.0, 45.0)","(35.0, 40.0)",0.0,0.0
201,0.0,"(40.0, 45.0)","(40.0, 45.0)",0.0,0.0
202,0.0,"(40.0, 45.0)","(45.0, 50.0)",0.0,0.0
203,0.0,"(40.0, 45.0)","(50.0, 55.0)",0.0,0.0
204,0.0,"(40.0, 45.0)","(55.0, 60.0)",0.0,0.0
205,0.0,"(40.0, 45.0)","(60.0, 65.0)",0.0,0.0
206,0.0,"(40.0, 45.0)","(65.0, 70.0)",0.0,0.0
207,0.0,"(40.0, 45.0)","(70.0, 75.0)",0.0,0.0
208,0.0,"(40.0, 45.0)","(75.0, 80.0)",0.0,0.0
209,1.0,"(40.0, 45.0)","(80.0, 85.0)",0.001091703056768559,0.019230769230769232
210,3.0,"(40.0, 45.0)","(85.0, 90.0)",0.0032751091703056767,0.057692307692307696
211,17.0,"(40.0, 45.0)","(90.0, 95.0)",0.018558951965065504,0.3269230769230769
212,30.0,"(40.0, 45.0)","(95.0, 100.0)",0.03275109170305677,0.5769230769230769
213,30.0,"(40.0, 45.0)","(100.0, 105.0)",0.03275109170305677,0.5769230769230769
214,39.0,"(40.0, 45.0)","(105.0, 110.0)",0.0425764192139738,0.75
215,52.0,"(40.0, 45.0)","(110.0, 115.0)",0.056768558951965066,1.0
216,10.0,"(40.0, 45.0)","(115.0, 120.0)",0.010917030567685589,0.19230769230769232
217,0.0,"(45.0, 50.0)","(0.0, 5.0)",0.0,0.0
218,0.0,"(45.0, 50.0)","(5.0, 10.0)",0.0,0.0
219,0.0,"(45.0, 50.0)","(10.0, 15.0)",0.0,0.0
220,0.0,"(45.0, 50.0)","(15.0, 20.0)",0.0,0.0
221,0.0,"(45.0, 50.0)","(20.0, 25.0)",0.0,0.0
222,0.0,"(45.0, 50.0)","(25.0, 30.0)",0.0,0.0
223,0.0,"(45.0, 50.0)","(30.0, 35.0)",0.0,0.0
224,0.0,"(45.0, 50.0)","(35.0, 40.0)",0.0,0.0
225,0.0,"(45.0, 50.0)","(40.0, 45.0)",0.0,0.0
226,0.0,"(45.0, 50.0)","(45.0, 50.0)",0.0,0.0
227,0.0,"(45.0, 50.0)","(50.0, 55.0)",0.0,0.0
228,0.0,"(45.0, 50.0)","(55.0, 60.0)",0.0,0.0
229,0.0,"(45.0, 50.0)","(60.0, 65.0)",0.0,0.0
230,0.0,"(45.0, 50.0)","(65.0, 70.0)",0.0,0.0
231,0.0,"(45.0, 50.0)","(70.0, 75.0)",0.0,0.0
232,0.0,"(45.0, 50.0)","(75.0, 80.0)",0.0,0.0
233,1.0,"(45.0, 50.0)","(80.0, 85.0)",0.001091703056768559,0.019230769230769232
234,3.0,"(45.0, 50.0)","(85.0, 90.0)",0.0032751091703056767,0.057692307692307696
235,20.0,"(45.0, 50.0)","(90.0, 95.0)",0.021834061135371178,0.38461538461538464
236,26.0,"(45.0, 50.0)","(95.0, 100.0)",0.028384279475982533,0.5
237,29.0,"(45.0, 50.0)","(100.0, 105.0)",0.03165938864628821,0.5576923076923077
238,25.0,"(45.0, 50.0)","(105.0, 110.0)",0.027292576419213975,0.4807692307692308
239,29.0,"(45.0, 50.0)","(110.0, 115.0)",0.03165938864628821,0.5576923076923077
240,9.0,"(45.0, 50.0)","(115.0, 120.0)",0.009825327510917031,0.17307692307692307
241,0.0,"(50.0, 55.0)","(0.0, 5.0)",0.0,0.0
242,0.0,"(50.0, 55.0)","(5.0, 10.0)",0.0,0.0
243,0.0,"(50.0, 55.0)","(10.0, 15.0)",0.0,0.0
244,0.0,"(50.0, 55.0)","(15.0, 20.0)",0.0,0.0
245,0.0,"(50.0, 55.0)","(20.0, 25.0)",0.0,0.0
246,0.0,"(50.0, 55.0)","(25.0, 30.0)",0.0,0.0
247,0.0,"(50.0, 55.0)","(30.0, 35.0)",0.0,0.0
248,0.0,"(50.0, 55.0)","(35.0, 40.0)",0.0,0.0
249,0.0,"(50.0, 55.0)","(40.0, 45.0)",0.0,0.0
250,0.0,"(50.0, 55.0)","(45.0, 50.0)",0.0,0.0
251,0.0,"(50.0, 55.0)","(50.0, 55.0)",0.0,0.0
252,1.0,"(50.0, 55.0)","(55.0, 60.0)",0.001091703056768559,0.019230769230769232
253,0.0,"(50.0, 55.0)","(60.0, 65.0)",0.0,0.0
254,0.0,"(50.0, 55.0)","(65.0, 70.0)",0.0,0.0
255,0.0,"(50.0, 55.0)","(70.0, 75.0)",0.0,0.0
256,0.0,"(50.0, 55.0)","(75.0, 80.0)",0.0,0.0
257,0.0,"(50.0, 55.0)","(80.0, 85.0)",0.0,0.0
258,3.0,"(50.0, 55.0)","(85.0, 90.0)",0.0032751091703056767,0.057692307692307696
259,11.0,"(50.0, 55.0)","(90.0, 95.0)",0.012008733624454149,0.21153846153846154
260,11.0,"(50.0, 55.0)","(95.0, 100.0)",0.012008733624454149,0.21153846153846154
261,17.0,"(50.0, 55.0)","(100.0, 105.0)",0.018558951965065504,0.3269230769230769
262,26.0,"(50.0, 55.0)","(105.0, 110.0)",0.028384279475982533,0.5
263,23.0,"(50.0, 55.0)","(110.0, 115.0)",0.025109170305676855,0.4423076923076923
264,4.0,"(50.0, 55.0)","(115.0, 120.0)",0.004366812227074236,0.07692307692307693
265,0.0,"(55.0, 60.0)","(0.0, 5.0)",0.0,0.0
266,0.0,"(55.0, 60.0)","(5.0, 10.0)",0.0,0.0
267,0.0,"(55.0, 60.0)","(10.0, 15.0)",0.0,0.0
268,0.0,"(55.0, 60.0)","(15.0, 20.0)",0.0,0.0
269,0.0,"(55.0, 60.0)","(20.0, 25.0)",0.0,0.0
270,0.0,"(55.0, 60.0)","(25.0, 30.0)",0.0,0.0
271,0.0,"(55.0, 60.0)","(30.0, 35.0)",0.0,0.0
272,0.0,"(55.0, 60.0)","(35.0, 40.0)",0.0,0.0
273,0.0,"(55.0, 60.0)","(40.0, 45.0)",0.0,0.0
274,0.0,"(55.0, 60.0)","(45.0, 50.0)",0.0,0.0
275,0.0,"(55.0, 60.0)","(50.0, 55.0)",0.0,0.0
276,0.0,"(55.0, 60.0)","(55.0, 60.0)",0.0,0.0
