x_interval,y_interval,count,percentage,Pitch_Number
"(0.0, 10.0)","(0.0, 10.0)",0,0.0,1
"(0.0, 10.0)","(10.0, 20.0)",0,0.0,2
"(0.0, 10.0)","(20.0, 30.0)",0,0.0,3
"(0.0, 10.0)","(30.0, 40.0)",0,0.0,4
"(0.0, 10.0)","(40.0, 50.0)",0,0.0,5
"(0.0, 10.0)","(50.0, 60.0)",0,0.0,6
"(0.0, 10.0)","(60.0, 70.0)",0,0.0,7
"(0.0, 10.0)","(70.0, 80.0)",0,0.0,8
"(0.0, 10.0)","(80.0, 90.0)",0,0.0,9
"(0.0, 10.0)","(90.0, 100.0)",0,0.0,10
"(0.0, 10.0)","(100.0, 110.0)",0,0.0,11
"(0.0, 10.0)","(110.0, 120.0)",0,0.0,12
"(10.0, 20.0)","(0.0, 10.0)",0,0.0,13
"(10.0, 20.0)","(10.0, 20.0)",0,0.0,14
"(10.0, 20.0)","(20.0, 30.0)",0,0.0,15
"(10.0, 20.0)","(30.0, 40.0)",0,0.0,16
"(10.0, 20.0)","(40.0, 50.0)",0,0.0,17
"(10.0, 20.0)","(50.0, 60.0)",0,0.0,18
"(10.0, 20.0)","(60.0, 70.0)",0,0.0,19
"(10.0, 20.0)","(70.0, 80.0)",0,0.0,20
"(10.0, 20.0)","(80.0, 90.0)",0,0.0,21
"(10.0, 20.0)","(90.0, 100.0)",1,0.107,22
"(10.0, 20.0)","(100.0, 110.0)",2,0.214,23
"(10.0, 20.0)","(110.0, 120.0)",0,0.0,24
"(20.0, 30.0)","(0.0, 10.0)",0,0.0,25
"(20.0, 30.0)","(10.0, 20.0)",0,0.0,26
"(20.0, 30.0)","(20.0, 30.0)",0,0.0,27
"(20.0, 30.0)","(30.0, 40.0)",0,0.0,28
"(20.0, 30.0)","(40.0, 50.0)",0,0.0,29
"(20.0, 30.0)","(50.0, 60.0)",0,0.0,30
"(20.0, 30.0)","(60.0, 70.0)",0,0.0,31
"(20.0, 30.0)","(70.0, 80.0)",0,0.0,32
"(20.0, 30.0)","(80.0, 90.0)",7,0.749,33
"(20.0, 30.0)","(90.0, 100.0)",31,3.316,34
"(20.0, 30.0)","(100.0, 110.0)",67,7.166,35
"(20.0, 30.0)","(110.0, 120.0)",30,3.209,36
"(30.0, 40.0)","(0.0, 10.0)",0,0.0,37
"(30.0, 40.0)","(10.0, 20.0)",0,0.0,38
"(30.0, 40.0)","(20.0, 30.0)",0,0.0,39
"(30.0, 40.0)","(30.0, 40.0)",0,0.0,40
"(30.0, 40.0)","(40.0, 50.0)",0,0.0,41
"(30.0, 40.0)","(50.0, 60.0)",1,0.107,42
"(30.0, 40.0)","(60.0, 70.0)",0,0.0,43
"(30.0, 40.0)","(70.0, 80.0)",1,0.107,44
"(30.0, 40.0)","(80.0, 90.0)",12,1.283,45
"(30.0, 40.0)","(90.0, 100.0)",77,8.235,46
"(30.0, 40.0)","(100.0, 110.0)",119,12.727,47
"(30.0, 40.0)","(110.0, 120.0)",113,12.086,48
"(40.0, 50.0)","(0.0, 10.0)",0,0.0,49
"(40.0, 50.0)","(10.0, 20.0)",0,0.0,50
"(40.0, 50.0)","(20.0, 30.0)",0,0.0,51
"(40.0, 50.0)","(30.0, 40.0)",0,0.0,52
"(40.0, 50.0)","(40.0, 50.0)",0,0.0,53
"(40.0, 50.0)","(50.0, 60.0)",0,0.0,54
"(40.0, 50.0)","(60.0, 70.0)",0,0.0,55
"(40.0, 50.0)","(70.0, 80.0)",0,0.0,56
"(40.0, 50.0)","(80.0, 90.0)",10,1.07,57
