Pitch_Number,count,x_interval,y_interval,percentage
1,7.0,"(0.0, 5.0)","(0.0, 5.0)",0.0001898150658929443
2,19.0,"(0.0, 5.0)","(5.0, 10.0)",0.0005152123217094202
3,30.0,"(0.0, 5.0)","(10.0, 15.0)",0.0008134931395411899
4,44.0,"(0.0, 5.0)","(15.0, 20.0)",0.0011931232713270786
5,45.0,"(0.0, 5.0)","(20.0, 25.0)",0.0012202397093117848
6,67.0,"(0.0, 5.0)","(25.0, 30.0)",0.001816801344975324
7,89.0,"(0.0, 5.0)","(30.0, 35.0)",0.002413362980638863
8,85.0,"(0.0, 5.0)","(35.0, 40.0)",0.002304897228700038
9,108.0,"(0.0, 5.0)","(40.0, 45.0)",0.0029285753023482837
10,113.0,"(0.0, 5.0)","(45.0, 50.0)",0.003064157492271815
11,113.0,"(0.0, 5.0)","(50.0, 55.0)",0.003064157492271815
12,131.0,"(0.0, 5.0)","(55.0, 60.0)",0.003552253375996529
13,139.0,"(0.0, 5.0)","(60.0, 65.0)",0.0037691848798741797
14,140.0,"(0.0, 5.0)","(65.0, 70.0)",0.003796301317858886
15,133.0,"(0.0, 5.0)","(70.0, 75.0)",0.003606486251965942
16,111.0,"(0.0, 5.0)","(75.0, 80.0)",0.0030099246163024025
17,131.0,"(0.0, 5.0)","(80.0, 85.0)",0.003552253375996529
18,115.0,"(0.0, 5.0)","(85.0, 90.0)",0.003118390368241228
19,114.0,"(0.0, 5.0)","(90.0, 95.0)",0.0030912739302565214
20,93.0,"(0.0, 5.0)","(95.0, 100.0)",0.0025218287325776884
21,58.0,"(0.0, 5.0)","(100.0, 105.0)",0.0015727534031129671
22,52.0,"(0.0, 5.0)","(105.0, 110.0)",0.0014100547752047292
23,37.0,"(0.0, 5.0)","(110.0, 115.0)",0.0010033082054341342
24,172.0,"(0.0, 5.0)","(115.0, 120.0)",0.0046640273333694885
25,12.0,"(5.0, 10.0)","(0.0, 5.0)",0.00032539725581647597
26,20.0,"(5.0, 10.0)","(5.0, 10.0)",0.0005423287596941266
27,44.0,"(5.0, 10.0)","(10.0, 15.0)",0.0011931232713270786
28,55.0,"(5.0, 10.0)","(15.0, 20.0)",0.001491404089158848
29,67.0,"(5.0, 10.0)","(20.0, 25.0)",0.001816801344975324
30,103.0,"(5.0, 10.0)","(25.0, 30.0)",0.002792993112424752
31,93.0,"(5.0, 10.0)","(30.0, 35.0)",0.0025218287325776884
32,97.0,"(5.0, 10.0)","(35.0, 40.0)",0.0026302944845165138
33,122.0,"(5.0, 10.0)","(40.0, 45.0)",0.003308205434134172
34,136.0,"(5.0, 10.0)","(45.0, 50.0)",0.003687835565920061
35,144.0,"(5.0, 10.0)","(50.0, 55.0)",0.0039047670697977114
36,161.0,"(5.0, 10.0)","(55.0, 60.0)",0.004365746515537719
37,179.0,"(5.0, 10.0)","(60.0, 65.0)",0.004853842399262433
38,189.0,"(5.0, 10.0)","(65.0, 70.0)",0.005125006779109496
39,171.0,"(5.0, 10.0)","(70.0, 75.0)",0.004636910895384782
40,185.0,"(5.0, 10.0)","(75.0, 80.0)",0.0050165410271706705
41,177.0,"(5.0, 10.0)","(80.0, 85.0)",0.00479960952329302
