Pitch_Number,count,x_interval,y_interval,percentage,position
1,0.0,"(0.0, 5.0)","(0.0, 5.0)",,ALL
2,0.0,"(0.0, 5.0)","(5.0, 10.0)",,ALL
3,0.0,"(0.0, 5.0)","(10.0, 15.0)",,ALL
4,0.0,"(0.0, 5.0)","(15.0, 20.0)",,ALL
5,0.0,"(0.0, 5.0)","(20.0, 25.0)",,ALL
6,0.0,"(0.0, 5.0)","(25.0, 30.0)",,ALL
7,0.0,"(0.0, 5.0)","(30.0, 35.0)",,ALL
8,0.0,"(0.0, 5.0)","(35.0, 40.0)",,ALL
9,0.0,"(0.0, 5.0)","(40.0, 45.0)",,ALL
10,0.0,"(0.0, 5.0)","(45.0, 50.0)",,ALL
11,0.0,"(0.0, 5.0)","(50.0, 55.0)",,ALL
12,0.0,"(0.0, 5.0)","(55.0, 60.0)",,ALL
13,0.0,"(0.0, 5.0)","(60.0, 65.0)",,ALL
14,0.0,"(0.0, 5.0)","(65.0, 70.0)",,ALL
15,0.0,"(0.0, 5.0)","(70.0, 75.0)",,ALL
16,0.0,"(0.0, 5.0)","(75.0, 80.0)",,ALL
17,0.0,"(0.0, 5.0)","(80.0, 85.0)",,ALL
18,0.0,"(0.0, 5.0)","(85.0, 90.0)",,ALL
19,0.0,"(0.0, 5.0)","(90.0, 95.0)",,ALL
20,0.0,"(0.0, 5.0)","(95.0, 100.0)",,ALL
21,0.0,"(0.0, 5.0)","(100.0, 105.0)",,ALL
22,0.0,"(0.0, 5.0)","(105.0, 110.0)",,ALL
23,0.0,"(0.0, 5.0)","(110.0, 115.0)",,ALL
24,0.0,"(0.0, 5.0)","(115.0, 120.0)",,ALL
25,0.0,"(5.0, 10.0)","(0.0, 5.0)",,ALL
26,0.0,"(5.0, 10.0)","(5.0, 10.0)",,ALL
27,0.0,"(5.0, 10.0)","(10.0, 15.0)",,ALL
28,0.0,"(5.0, 10.0)","(15.0, 20.0)",,ALL
29,0.0,"(5.0, 10.0)","(20.0, 25.0)",,ALL
30,0.0,"(5.0, 10.0)","(25.0, 30.0)",,ALL
31,0.0,"(5.0, 10.0)","(30.0, 35.0)",,ALL
32,0.0,"(5.0, 10.0)","(35.0, 40.0)",,ALL
33,0.0,"(5.0, 10.0)","(40.0, 45.0)",,ALL
34,0.0,"(5.0, 10.0)","(45.0, 50.0)",,ALL
35,0.0,"(5.0, 10.0)","(50.0, 55.0)",,ALL
36,0.0,"(5.0, 10.0)","(55.0, 60.0)",,ALL
37,0.0,"(5.0, 10.0)","(60.0, 65.0)",,ALL
38,0.0,"(5.0, 10.0)","(65.0, 70.0)",,ALL
39,0.0,"(5.0, 10.0)","(70.0, 75.0)",,ALL
40,0.0,"(5.0, 10.0)","(75.0, 80.0)",,ALL
41,0.0,"(5.0, 10.0)","(80.0, 85.0)",,ALL
42,0.0,"(5.0, 10.0)","(85.0, 90.0)",,ALL
43,0.0,"(5.0, 10.0)","(90.0, 95.0)",,ALL
44,0.0,"(5.0, 10.0)","(95.0, 100.0)",,ALL
45,0.0,"(5.0, 10.0)","(100.0, 105.0)",,ALL
46,0.0,"(5.0, 10.0)","(105.0, 110.0)",,ALL
47,0.0,"(5.0, 10.0)","(110.0, 115.0)",,ALL
48,0.0,"(5.0, 10.0)","(115.0, 120.0)",,ALL
49,0.0,"(10.0, 15.0)","(0.0, 5.0)",,ALL
50,0.0,"(10.0, 15.0)","(5.0, 10.0)",,ALL
51,0.0,"(10.0, 15.0)","(10.0, 15.0)",,ALL
52,0.0,"(10.0, 15.0)","(15.0, 20.0)",,ALL
53,0.0,"(10.0, 15.0)","(20.0, 25.0)",,ALL
54,0.0,"(10.0, 15.0)","(25.0, 30.0)",,ALL
55,0.0,"(10.0, 15.0)","(30.0, 35.0)",,ALL
56,0.0,"(10.0, 15.0)","(35.0, 40.0)",,ALL
57,0.0,"(10.0, 15.0)","(40.0, 45.0)",,ALL
58,0.0,"(10.0, 15.0)","(45.0, 50.0)",,ALL
59,0.0,"(10.0, 15.0)","(50.0, 55.0)",,ALL
60,0.0,"(10.0, 15.0)","(55.0, 60.0)",,ALL
61,0.0,"(10.0, 15.0)","(60.0, 65.0)",,ALL
62,0.0,"(10.0, 15.0)","(65.0, 70.0)",,ALL
63,0.0,"(10.0, 15.0)","(70.0, 75.0)",,ALL
64,0.0,"(10.0, 15.0)","(75.0, 80.0)",,ALL
65,0.0,"(10.0, 15.0)","(80.0, 85.0)",,ALL
66,0.0,"(10.0, 15.0)","(85.0, 90.0)",,ALL
67,0.0,"(10.0, 15.0)","(90.0, 95.0)",,ALL
68,0.0,"(10.0, 15.0)","(95.0, 100.0)",,ALL
69,0.0,"(10.0, 15.0)","(100.0, 105.0)",,ALL
70,0.0,"(10.0, 15.0)","(105.0, 110.0)",,ALL
71,0.0,"(10.0, 15.0)","(110.0, 115.0)",,ALL
72,0.0,"(10.0, 15.0)","(115.0, 120.0)",,ALL
73,0.0,"(15.0, 20.0)","(0.0, 5.0)",,ALL
74,0.0,"(15.0, 20.0)","(5.0, 10.0)",,ALL
75,0.0,"(15.0, 20.0)","(10.0, 15.0)",,ALL
76,0.0,"(15.0, 20.0)","(15.0, 20.0)",,ALL
77,0.0,"(15.0, 20.0)","(20.0, 25.0)",,ALL
78,0.0,"(15.0, 20.0)","(25.0, 30.0)",,ALL
79,0.0,"(15.0, 20.0)","(30.0, 35.0)",,ALL
80,0.0,"(15.0, 20.0)","(35.0, 40.0)",,ALL
81,0.0,"(15.0, 20.0)","(40.0, 45.0)",,ALL
82,0.0,"(15.0, 20.0)","(45.0, 50.0)",,ALL
83,0.0,"(15.0, 20.0)","(50.0, 55.0)",,ALL
84,0.0,"(15.0, 20.0)","(55.0, 60.0)",,ALL
85,0.0,"(15.0, 20.0)","(60.0, 65.0)",,ALL
86,0.0,"(15.0, 20.0)","(65.0, 70.0)",,ALL
87,0.0,"(15.0, 20.0)","(70.0, 75.0)",,ALL
88,0.0,"(15.0, 20.0)","(75.0, 80.0)",,ALL
89,0.0,"(15.0, 20.0)","(80.0, 85.0)",,ALL
90,0.0,"(15.0, 20.0)","(85.0, 90.0)",,ALL
91,0.0,"(15.0, 20.0)","(90.0, 95.0)",,ALL
92,0.0,"(15.0, 20.0)","(95.0, 100.0)",,ALL
93,0.0,"(15.0, 20.0)","(100.0, 105.0)",,ALL
94,0.0,"(15.0, 20.0)","(105.0, 110.0)",,ALL
95,0.0,"(15.0, 20.0)","(110.0, 115.0)",,ALL
96,0.0,"(15.0, 20.0)","(115.0, 120.0)",,ALL
97,0.0,"(20.0, 25.0)","(0.0, 5.0)",,ALL
98,0.0,"(20.0, 25.0)","(5.0, 10.0)",,ALL
99,0.0,"(20.0, 25.0)","(10.0, 15.0)",,ALL
100,0.0,"(20.0, 25.0)","(15.0, 20.0)",,ALL
101,0.0,"(20.0, 25.0)","(20.0, 25.0)",,ALL
102,0.0,"(20.0, 25.0)","(25.0, 30.0)",,ALL
103,0.0,"(20.0, 25.0)","(30.0, 35.0)",,ALL
104,0.0,"(20.0, 25.0)","(35.0, 40.0)",,ALL
105,0.0,"(20.0, 25.0)","(40.0, 45.0)",,ALL
106,0.0,"(20.0, 25.0)","(45.0, 50.0)",,ALL
107,0.0,"(20.0, 25.0)","(50.0, 55.0)",,ALL
108,0.0,"(20.0, 25.0)","(55.0, 60.0)",,ALL
109,0.0,"(20.0, 25.0)","(60.0, 65.0)",,ALL
110,0.0,"(20.0, 25.0)","(65.0, 70.0)",,ALL
111,0.0,"(20.0, 25.0)","(70.0, 75.0)",,ALL
112,0.0,"(20.0, 25.0)","(75.0, 80.0)",,ALL
113,0.0,"(20.0, 25.0)","(80.0, 85.0)",,ALL
114,0.0,"(20.0, 25.0)","(85.0, 90.0)",,ALL
115,0.0,"(20.0, 25.0)","(90.0, 95.0)",,ALL
116,0.0,"(20.0, 25.0)","(95.0, 100.0)",,ALL
117,0.0,"(20.0, 25.0)","(100.0, 105.0)",,ALL
118,0.0,"(20.0, 25.0)","(105.0, 110.0)",,ALL
119,0.0,"(20.0, 25.0)","(110.0, 115.0)",,ALL
120,0.0,"(20.0, 25.0)","(115.0, 120.0)",,ALL
121,0.0,"(25.0, 30.0)","(0.0, 5.0)",,ALL
122,0.0,"(25.0, 30.0)","(5.0, 10.0)",,ALL
123,0.0,"(25.0, 30.0)","(10.0, 15.0)",,ALL
124,0.0,"(25.0, 30.0)","(15.0, 20.0)",,ALL
125,0.0,"(25.0, 30.0)","(20.0, 25.0)",,ALL
126,0.0,"(25.0, 30.0)","(25.0, 30.0)",,ALL
127,0.0,"(25.0, 30.0)","(30.0, 35.0)",,ALL
128,0.0,"(25.0, 30.0)","(35.0, 40.0)",,ALL
129,0.0,"(25.0, 30.0)","(40.0, 45.0)",,ALL
130,0.0,"(25.0, 30.0)","(45.0, 50.0)",,ALL
131,0.0,"(25.0, 30.0)","(50.0, 55.0)",,ALL
132,0.0,"(25.0, 30.0)","(55.0, 60.0)",,ALL
133,0.0,"(25.0, 30.0)","(60.0, 65.0)",,ALL
134,0.0,"(25.0, 30.0)","(65.0, 70.0)",,ALL
135,0.0,"(25.0, 30.0)","(70.0, 75.0)",,ALL
136,0.0,"(25.0, 30.0)","(75.0, 80.0)",,ALL
137,0.0,"(25.0, 30.0)","(80.0, 85.0)",,ALL
138,0.0,"(25.0, 30.0)","(85.0, 90.0)",,ALL
139,0.0,"(25.0, 30.0)","(90.0, 95.0)",,ALL
140,0.0,"(25.0, 30.0)","(95.0, 100.0)",,ALL
141,0.0,"(25.0, 30.0)","(100.0, 105.0)",,ALL
142,0.0,"(25.0, 30.0)","(105.0, 110.0)",,ALL
143,0.0,"(25.0, 30.0)","(110.0, 115.0)",,ALL
144,0.0,"(25.0, 30.0)","(115.0, 120.0)",,ALL
145,0.0,"(30.0, 35.0)","(0.0, 5.0)",,ALL
146,0.0,"(30.0, 35.0)","(5.0, 10.0)",,ALL
147,0.0,"(30.0, 35.0)","(10.0, 15.0)",,ALL
148,0.0,"(30.0, 35.0)","(15.0, 20.0)",,ALL
149,0.0,"(30.0, 35.0)","(20.0, 25.0)",,ALL
150,0.0,"(30.0, 35.0)","(25.0, 30.0)",,ALL
