Pitch_Number,count,x_interval,y_interval,percentage,position,action,prob
1,0.0,"(0.0, 5.0)","(0.0, 5.0)",0.0,ALL,Shot,
2,0.0,"(0.0, 5.0)","(5.0, 10.0)",0.0,ALL,Shot,
3,0.0,"(0.0, 5.0)","(10.0, 15.0)",0.0,ALL,Shot,
4,0.0,"(0.0, 5.0)","(15.0, 20.0)",0.0,ALL,Shot,
5,0.0,"(0.0, 5.0)","(20.0, 25.0)",0.0,ALL,Shot,
6,0.0,"(0.0, 5.0)","(25.0, 30.0)",0.0,ALL,Shot,
7,0.0,"(0.0, 5.0)","(30.0, 35.0)",0.0,ALL,Shot,
8,0.0,"(0.0, 5.0)","(35.0, 40.0)",0.0,ALL,Shot,
9,0.0,"(0.0, 5.0)","(40.0, 45.0)",0.0,ALL,Shot,
10,0.0,"(0.0, 5.0)","(45.0, 50.0)",0.0,ALL,Shot,
11,0.0,"(0.0, 5.0)","(50.0, 55.0)",0.0,ALL,Shot,
12,0.0,"(0.0, 5.0)","(55.0, 60.0)",0.0,ALL,Shot,
13,0.0,"(0.0, 5.0)","(60.0, 65.0)",0.0,ALL,Shot,
14,0.0,"(0.0, 5.0)","(65.0, 70.0)",0.0,ALL,Shot,
15,0.0,"(0.0, 5.0)","(70.0, 75.0)",0.0,ALL,Shot,
16,0.0,"(0.0, 5.0)","(75.0, 80.0)",0.0,ALL,Shot,
17,0.0,"(0.0, 5.0)","(80.0, 85.0)",0.0,ALL,Shot,
18,0.0,"(0.0, 5.0)","(85.0, 90.0)",0.0,ALL,Shot,
19,0.0,"(0.0, 5.0)","(90.0, 95.0)",0.0,ALL,Shot,
20,0.0,"(0.0, 5.0)","(95.0, 100.0)",0.0,ALL,Shot,
21,0.0,"(0.0, 5.0)","(100.0, 105.0)",0.0,ALL,Shot,
22,0.0,"(0.0, 5.0)","(105.0, 110.0)",0.0,ALL,Shot,
23,0.0,"(0.0, 5.0)","(110.0, 115.0)",0.0,ALL,Shot,
24,0.0,"(0.0, 5.0)","(115.0, 120.0)",0.0,ALL,Shot,
25,0.0,"(5.0, 10.0)","(0.0, 5.0)",0.0,ALL,Shot,
26,0.0,"(5.0, 10.0)","(5.0, 10.0)",0.0,ALL,Shot,
27,0.0,"(5.0, 10.0)","(10.0, 15.0)",0.0,ALL,Shot,
28,0.0,"(5.0, 10.0)","(15.0, 20.0)",0.0,ALL,Shot,
29,0.0,"(5.0, 10.0)","(20.0, 25.0)",0.0,ALL,Shot,
30,0.0,"(5.0, 10.0)","(25.0, 30.0)",0.0,ALL,Shot,
31,0.0,"(5.0, 10.0)","(30.0, 35.0)",0.0,ALL,Shot,
32,0.0,"(5.0, 10.0)","(35.0, 40.0)",0.0,ALL,Shot,
33,0.0,"(5.0, 10.0)","(40.0, 45.0)",0.0,ALL,Shot,
34,0.0,"(5.0, 10.0)","(45.0, 50.0)",0.0,ALL,Shot,
35,0.0,"(5.0, 10.0)","(50.0, 55.0)",0.0,ALL,Shot,
36,0.0,"(5.0, 10.0)","(55.0, 60.0)",0.0,ALL,Shot,
37,0.0,"(5.0, 10.0)","(60.0, 65.0)",0.0,ALL,Shot,
38,0.0,"(5.0, 10.0)","(65.0, 70.0)",0.0,ALL,Shot,
39,0.0,"(5.0, 10.0)","(70.0, 75.0)",0.0,ALL,Shot,
40,0.0,"(5.0, 10.0)","(75.0, 80.0)",0.0,ALL,Shot,
41,0.0,"(5.0, 10.0)","(80.0, 85.0)",0.0,ALL,Shot,
42,0.0,"(5.0, 10.0)","(85.0, 90.0)",0.0,ALL,Shot,
43,0.0,"(5.0, 10.0)","(90.0, 95.0)",0.0,ALL,Shot,
44,0.0,"(5.0, 10.0)","(95.0, 100.0)",0.0,ALL,Shot,
45,0.0,"(5.0, 10.0)","(100.0, 105.0)",0.0,ALL,Shot,
46,0.0,"(5.0, 10.0)","(105.0, 110.0)",0.0,ALL,Shot,
47,0.0,"(5.0, 10.0)","(110.0, 115.0)",0.0,ALL,Shot,
48,0.0,"(5.0, 10.0)","(115.0, 120.0)",0.0,ALL,Shot,
49,0.0,"(10.0, 15.0)","(0.0, 5.0)",0.0,ALL,Shot,
50,0.0,"(10.0, 15.0)","(5.0, 10.0)",0.0,ALL,Shot,
51,0.0,"(10.0, 15.0)","(10.0, 15.0)",0.0,ALL,Shot,
52,0.0,"(10.0, 15.0)","(15.0, 20.0)",0.0,ALL,Shot,
53,0.0,"(10.0, 15.0)","(20.0, 25.0)",0.0,ALL,Shot,
54,0.0,"(10.0, 15.0)","(25.0, 30.0)",0.0,ALL,Shot,
55,0.0,"(10.0, 15.0)","(30.0, 35.0)",0.0,ALL,Shot,
56,0.0,"(10.0, 15.0)","(35.0, 40.0)",0.0,ALL,Shot,
57,0.0,"(10.0, 15.0)","(40.0, 45.0)",0.0,ALL,Shot,
58,0.0,"(10.0, 15.0)","(45.0, 50.0)",0.0,ALL,Shot,
59,0.0,"(10.0, 15.0)","(50.0, 55.0)",0.0,ALL,Shot,
60,0.0,"(10.0, 15.0)","(55.0, 60.0)",0.0,ALL,Shot,
61,0.0,"(10.0, 15.0)","(60.0, 65.0)",0.0,ALL,Shot,
62,0.0,"(10.0, 15.0)","(65.0, 70.0)",0.0,ALL,Shot,
63,0.0,"(10.0, 15.0)","(70.0, 75.0)",0.0,ALL,Shot,
64,0.0,"(10.0, 15.0)","(75.0, 80.0)",0.0,ALL,Shot,
65,0.0,"(10.0, 15.0)","(80.0, 85.0)",0.0,ALL,Shot,
66,0.0,"(10.0, 15.0)","(85.0, 90.0)",0.0,ALL,Shot,
67,0.0,"(10.0, 15.0)","(90.0, 95.0)",0.0,ALL,Shot,
68,1.0,"(10.0, 15.0)","(95.0, 100.0)",0.0011750881316098707,ALL,Shot,
69,0.0,"(10.0, 15.0)","(100.0, 105.0)",0.0,ALL,Shot,
70,0.0,"(10.0, 15.0)","(105.0, 110.0)",0.0,ALL,Shot,
71,0.0,"(10.0, 15.0)","(110.0, 115.0)",0.0,ALL,Shot,
72,0.0,"(10.0, 15.0)","(115.0, 120.0)",0.0,ALL,Shot,
73,0.0,"(15.0, 20.0)","(0.0, 5.0)",0.0,ALL,Shot,
74,0.0,"(15.0, 20.0)","(5.0, 10.0)",0.0,ALL,Shot,
75,0.0,"(15.0, 20.0)","(10.0, 15.0)",0.0,ALL,Shot,
76,0.0,"(15.0, 20.0)","(15.0, 20.0)",0.0,ALL,Shot,
77,0.0,"(15.0, 20.0)","(20.0, 25.0)",0.0,ALL,Shot,
78,0.0,"(15.0, 20.0)","(25.0, 30.0)",0.0,ALL,Shot,
79,0.0,"(15.0, 20.0)","(30.0, 35.0)",0.0,ALL,Shot,
80,0.0,"(15.0, 20.0)","(35.0, 40.0)",0.0,ALL,Shot,
81,0.0,"(15.0, 20.0)","(40.0, 45.0)",0.0,ALL,Shot,
82,0.0,"(15.0, 20.0)","(45.0, 50.0)",0.0,ALL,Shot,
83,0.0,"(15.0, 20.0)","(50.0, 55.0)",0.0,ALL,Shot,
84,0.0,"(15.0, 20.0)","(55.0, 60.0)",0.0,ALL,Shot,
85,0.0,"(15.0, 20.0)","(60.0, 65.0)",0.0,ALL,Shot,
86,0.0,"(15.0, 20.0)","(65.0, 70.0)",0.0,ALL,Shot,
