Pitch_Number,count,x_interval,y_interval,percentage,position,action,prob
1,7.0,"(0.0, 5.0)","(0.0, 5.0)",0.0001898562516951451,ALL,Pass,
2,19.0,"(0.0, 5.0)","(5.0, 10.0)",0.0005153241117439653,ALL,Pass,
3,30.0,"(0.0, 5.0)","(10.0, 15.0)",0.0008136696501220504,ALL,Pass,
4,44.0,"(0.0, 5.0)","(15.0, 20.0)",0.0011933821535123406,ALL,Pass,
5,45.0,"(0.0, 5.0)","(20.0, 25.0)",0.0012205044751830757,ALL,Pass,
6,67.0,"(0.0, 5.0)","(25.0, 30.0)",0.001817195551939246,ALL,Pass,
7,89.0,"(0.0, 5.0)","(30.0, 35.0)",0.0024138866286954165,ALL,Pass,
8,85.0,"(0.0, 5.0)","(35.0, 40.0)",0.0023053973420124763,ALL,Pass,
9,108.0,"(0.0, 5.0)","(40.0, 45.0)",0.0029292107404393815,ALL,Pass,
10,113.0,"(0.0, 5.0)","(45.0, 50.0)",0.0030648223487930565,ALL,Pass,
11,113.0,"(0.0, 5.0)","(50.0, 55.0)",0.0030648223487930565,ALL,Pass,
12,130.0,"(0.0, 5.0)","(55.0, 60.0)",0.003525901817195552,ALL,Pass,
13,139.0,"(0.0, 5.0)","(60.0, 65.0)",0.003770002712232167,ALL,Pass,
14,140.0,"(0.0, 5.0)","(65.0, 70.0)",0.003797125033902902,ALL,Pass,
15,133.0,"(0.0, 5.0)","(70.0, 75.0)",0.003607268782207757,ALL,Pass,
16,111.0,"(0.0, 5.0)","(75.0, 80.0)",0.003010577705451587,ALL,Pass,
17,131.0,"(0.0, 5.0)","(80.0, 85.0)",0.003553024138866287,ALL,Pass,
18,115.0,"(0.0, 5.0)","(85.0, 90.0)",0.0031190669921345266,ALL,Pass,
19,114.0,"(0.0, 5.0)","(90.0, 95.0)",0.003091944670463792,ALL,Pass,
20,93.0,"(0.0, 5.0)","(95.0, 100.0)",0.0025223759153783563,ALL,Pass,
21,58.0,"(0.0, 5.0)","(100.0, 105.0)",0.001573094656902631,ALL,Pass,
22,52.0,"(0.0, 5.0)","(105.0, 110.0)",0.0014103607268782209,ALL,Pass,
23,37.0,"(0.0, 5.0)","(110.0, 115.0)",0.0010035259018171955,ALL,Pass,
24,172.0,"(0.0, 5.0)","(115.0, 120.0)",0.004665039327366422,ALL,Pass,
25,12.0,"(5.0, 10.0)","(0.0, 5.0)",0.00032546786004882016,ALL,Pass,
26,20.0,"(5.0, 10.0)","(5.0, 10.0)",0.0005424464334147003,ALL,Pass,
27,44.0,"(5.0, 10.0)","(10.0, 15.0)",0.0011933821535123406,ALL,Pass,
28,55.0,"(5.0, 10.0)","(15.0, 20.0)",0.0014917276918904258,ALL,Pass,
29,67.0,"(5.0, 10.0)","(20.0, 25.0)",0.001817195551939246,ALL,Pass,
30,103.0,"(5.0, 10.0)","(25.0, 30.0)",0.0027935991320857064,ALL,Pass,
31,93.0,"(5.0, 10.0)","(30.0, 35.0)",0.0025223759153783563,ALL,Pass,
32,97.0,"(5.0, 10.0)","(35.0, 40.0)",0.0026308652020612965,ALL,Pass,
33,122.0,"(5.0, 10.0)","(40.0, 45.0)",0.003308923243829672,ALL,Pass,
34,136.0,"(5.0, 10.0)","(45.0, 50.0)",0.003688635747219962,ALL,Pass,
35,144.0,"(5.0, 10.0)","(50.0, 55.0)",0.003905614320585842,ALL,Pass,
