x_interval,y_interval,count,percentage,Pitch_Number,alpha
"(0.0, 4.0)","(0.0, 4.0)",9,0.02,1,0.0313588850174216
"(0.0, 4.0)","(4.0, 8.0)",16,0.04,2,0.05574912891986063
"(0.0, 4.0)","(8.0, 12.0)",28,0.07,3,0.0975609756097561
"(0.0, 4.0)","(12.0, 16.0)",40,0.1,4,0.13937282229965156
"(0.0, 4.0)","(16.0, 20.0)",31,0.07,5,0.10801393728222997
"(0.0, 4.0)","(20.0, 24.0)",53,0.13,6,0.18466898954703834
"(0.0, 4.0)","(24.0, 28.0)",40,0.1,7,0.13937282229965156
"(0.0, 4.0)","(28.0, 32.0)",58,0.14,8,0.20209059233449478
"(0.0, 4.0)","(32.0, 36.0)",67,0.16,9,0.23344947735191637
"(0.0, 4.0)","(36.0, 40.0)",37,0.09,10,0.1289198606271777
"(0.0, 4.0)","(40.0, 44.0)",78,0.19,11,0.27177700348432055
"(0.0, 4.0)","(44.0, 48.0)",58,0.14,12,0.20209059233449478
"(0.0, 4.0)","(48.0, 52.0)",84,0.2,13,0.2926829268292683
"(0.0, 4.0)","(52.0, 56.0)",64,0.15,14,0.2229965156794425
"(0.0, 4.0)","(56.0, 60.0)",80,0.19,15,0.2787456445993031
"(0.0, 4.0)","(60.0, 64.0)",81,0.2,16,0.28222996515679444
"(0.0, 4.0)","(64.0, 68.0)",81,0.2,17,0.28222996515679444
"(0.0, 4.0)","(68.0, 72.0)",90,0.22,18,0.313588850174216
"(0.0, 4.0)","(72.0, 76.0)",73,0.18,19,0.25435540069686413
"(0.0, 4.0)","(76.0, 80.0)",117,0.28,20,0.4076655052264808
"(0.0, 4.0)","(80.0, 84.0)",80,0.19,21,0.2787456445993031
"(0.0, 4.0)","(84.0, 88.0)",90,0.22,22,0.313588850174216
"(0.0, 4.0)","(88.0, 92.0)",91,0.22,23,0.3170731707317073
"(0.0, 4.0)","(92.0, 96.0)",56,0.14,24,0.1951219512195122
"(0.0, 4.0)","(96.0, 100.0)",59,0.14,25,0.20557491289198607
"(0.0, 4.0)","(100.0, 104.0)",44,0.11,26,0.15331010452961671
"(0.0, 4.0)","(104.0, 108.0)",46,0.11,27,0.1602787456445993
"(0.0, 4.0)","(108.0, 112.0)",56,0.14,28,0.1951219512195122
"(0.0, 4.0)","(112.0, 116.0)",20,0.05,29,0.06968641114982578
"(0.0, 4.0)","(116.0, 120.0)",167,0.4,30,0.5818815331010453
"(4.0, 8.0)","(0.0, 4.0)",15,0.04,31,0.05226480836236934
"(4.0, 8.0)","(4.0, 8.0)",12,0.03,32,0.041811846689895474
"(4.0, 8.0)","(8.0, 12.0)",34,0.08,33,0.11846689895470383
"(4.0, 8.0)","(12.0, 16.0)",38,0.09,34,0.13240418118466898
"(4.0, 8.0)","(16.0, 20.0)",46,0.11,35,0.1602787456445993
"(4.0, 8.0)","(20.0, 24.0)",51,0.12,36,0.17770034843205576
"(4.0, 8.0)","(24.0, 28.0)",48,0.12,37,0.1672473867595819
"(4.0, 8.0)","(28.0, 32.0)",53,0.13,38,0.18466898954703834
"(4.0, 8.0)","(32.0, 36.0)",66,0.16,39,0.22996515679442509
"(4.0, 8.0)","(36.0, 40.0)",53,0.13,40,0.18466898954703834
"(4.0, 8.0)","(40.0, 44.0)",96,0.23,41,0.3344947735191638
"(4.0, 8.0)","(44.0, 48.0)",64,0.15,42,0.2229965156794425
"(4.0, 8.0)","(48.0, 52.0)",119,0.29,43,0.4146341463414634
"(4.0, 8.0)","(52.0, 56.0)",83,0.2,44,0.289198606271777
"(4.0, 8.0)","(56.0, 60.0)",121,0.29,45,0.42160278745644597
"(4.0, 8.0)","(60.0, 64.0)",108,0.26,46,0.37630662020905925
"(4.0, 8.0)","(64.0, 68.0)",109,0.26,47,0.3797909407665505
"(4.0, 8.0)","(68.0, 72.0)",130,0.31,48,0.4529616724738676
"(4.0, 8.0)","(72.0, 76.0)",63,0.15,49,0.21951219512195122
"(4.0, 8.0)","(76.0, 80.0)",124,0.3,50,0.43205574912891986
"(4.0, 8.0)","(80.0, 84.0)",110,0.27,51,0.3832752613240418
"(4.0, 8.0)","(84.0, 88.0)",116,0.28,52,0.40418118466898956
"(4.0, 8.0)","(88.0, 92.0)",117,0.28,53,0.4076655052264808
"(4.0, 8.0)","(92.0, 96.0)",84,0.2,54,0.2926829268292683
