x_interval,y_interval,count,percentage,Pitch_Number
"(0.0, 10.0)","(0.0, 10.0)",118,0.294,1
"(0.0, 10.0)","(10.0, 20.0)",213,0.53,2
"(0.0, 10.0)","(20.0, 30.0)",309,0.769,3
"(0.0, 10.0)","(30.0, 40.0)",338,0.842,4
"(0.0, 10.0)","(40.0, 50.0)",519,1.292,5
"(0.0, 10.0)","(50.0, 60.0)",513,1.277,6
"(0.0, 10.0)","(60.0, 70.0)",577,1.437,7
"(0.0, 10.0)","(70.0, 80.0)",612,1.524,8
"(0.0, 10.0)","(80.0, 90.0)",564,1.404,9
"(0.0, 10.0)","(90.0, 100.0)",495,1.233,10
"(0.0, 10.0)","(100.0, 110.0)",290,0.722,11
"(0.0, 10.0)","(110.0, 120.0)",304,0.757,12
"(10.0, 20.0)","(0.0, 10.0)",102,0.254,13
"(10.0, 20.0)","(10.0, 20.0)",192,0.478,14
"(10.0, 20.0)","(20.0, 30.0)",315,0.784,15
"(10.0, 20.0)","(30.0, 40.0)",406,1.011,16
"(10.0, 20.0)","(40.0, 50.0)",588,1.464,17
"(10.0, 20.0)","(50.0, 60.0)",621,1.546,18
"(10.0, 20.0)","(60.0, 70.0)",649,1.616,19
"(10.0, 20.0)","(70.0, 80.0)",712,1.773,20
"(10.0, 20.0)","(80.0, 90.0)",472,1.175,21
"(10.0, 20.0)","(90.0, 100.0)",410,1.021,22
"(10.0, 20.0)","(100.0, 110.0)",188,0.468,23
"(10.0, 20.0)","(110.0, 120.0)",140,0.349,24
"(20.0, 30.0)","(0.0, 10.0)",174,0.433,25
"(20.0, 30.0)","(10.0, 20.0)",280,0.697,26
"(20.0, 30.0)","(20.0, 30.0)",438,1.091,27
"(20.0, 30.0)","(30.0, 40.0)",468,1.165,28
"(20.0, 30.0)","(40.0, 50.0)",781,1.945,29
"(20.0, 30.0)","(50.0, 60.0)",755,1.88,30
"(20.0, 30.0)","(60.0, 70.0)",747,1.86,31
"(20.0, 30.0)","(70.0, 80.0)",665,1.656,32
"(20.0, 30.0)","(80.0, 90.0)",463,1.153,33
"(20.0, 30.0)","(90.0, 100.0)",350,0.872,34
"(20.0, 30.0)","(100.0, 110.0)",178,0.443,35
"(20.0, 30.0)","(110.0, 120.0)",133,0.331,36
"(30.0, 40.0)","(0.0, 10.0)",560,1.395,37
"(30.0, 40.0)","(10.0, 20.0)",416,1.036,38
"(30.0, 40.0)","(20.0, 30.0)",339,0.844,39
"(30.0, 40.0)","(30.0, 40.0)",427,1.063,40
"(30.0, 40.0)","(40.0, 50.0)",584,1.454,41
"(30.0, 40.0)","(50.0, 60.0)",799,1.99,42
"(30.0, 40.0)","(60.0, 70.0)",760,1.893,43
"(30.0, 40.0)","(70.0, 80.0)",476,1.185,44
"(30.0, 40.0)","(80.0, 90.0)",323,0.804,45
"(30.0, 40.0)","(90.0, 100.0)",199,0.496,46
"(30.0, 40.0)","(100.0, 110.0)",86,0.214,47
"(30.0, 40.0)","(110.0, 120.0)",13,0.032,48
"(40.0, 50.0)","(0.0, 10.0)",605,1.507,49
"(40.0, 50.0)","(10.0, 20.0)",495,1.233,50
"(40.0, 50.0)","(20.0, 30.0)",346,0.862,51
"(40.0, 50.0)","(30.0, 40.0)",405,1.009,52
"(40.0, 50.0)","(40.0, 50.0)",611,1.522,53
"(40.0, 50.0)","(50.0, 60.0)",838,2.087,54
"(40.0, 50.0)","(60.0, 70.0)",752,1.873,55
"(40.0, 50.0)","(70.0, 80.0)",450,1.121,56
"(40.0, 50.0)","(80.0, 90.0)",295,0.735,57
"(40.0, 50.0)","(90.0, 100.0)",185,0.461,58
"(40.0, 50.0)","(100.0, 110.0)",74,0.184,59
"(40.0, 50.0)","(110.0, 120.0)",16,0.04,60
"(50.0, 60.0)","(0.0, 10.0)",149,0.371,61
"(50.0, 60.0)","(10.0, 20.0)",266,0.662,62
"(50.0, 60.0)","(20.0, 30.0)",416,1.036,63
"(50.0, 60.0)","(30.0, 40.0)",427,1.063,64
"(50.0, 60.0)","(40.0, 50.0)",748,1.863,65
"(50.0, 60.0)","(50.0, 60.0)",680,1.693,66
"(50.0, 60.0)","(60.0, 70.0)",747,1.86,67
"(50.0, 60.0)","(70.0, 80.0)",764,1.903,68
"(50.0, 60.0)","(80.0, 90.0)",498,1.24,69
"(50.0, 60.0)","(90.0, 100.0)",468,1.165,70
"(50.0, 60.0)","(100.0, 110.0)",194,0.483,71
"(50.0, 60.0)","(110.0, 120.0)",146,0.364,72
"(60.0, 70.0)","(0.0, 10.0)",70,0.174,73
"(60.0, 70.0)","(10.0, 20.0)",164,0.408,74
"(60.0, 70.0)","(20.0, 30.0)",289,0.72,75
"(60.0, 70.0)","(30.0, 40.0)",373,0.929,76
"(60.0, 70.0)","(40.0, 50.0)",543,1.352,77
"(60.0, 70.0)","(50.0, 60.0)",590,1.469,78
"(60.0, 70.0)","(60.0, 70.0)",711,1.771,79
"(60.0, 70.0)","(70.0, 80.0)",685,1.706,80
"(60.0, 70.0)","(80.0, 90.0)",549,1.367,81
"(60.0, 70.0)","(90.0, 100.0)",472,1.175,82
"(60.0, 70.0)","(100.0, 110.0)",246,0.613,83
"(60.0, 70.0)","(110.0, 120.0)",123,0.306,84
"(70.0, 80.0)","(0.0, 10.0)",72,0.179,85
"(70.0, 80.0)","(10.0, 20.0)",175,0.436,86
"(70.0, 80.0)","(20.0, 30.0)",268,0.667,87
"(70.0, 80.0)","(30.0, 40.0)",361,0.899,88
"(70.0, 80.0)","(40.0, 50.0)",503,1.253,89
"(70.0, 80.0)","(50.0, 60.0)",463,1.153,90
"(70.0, 80.0)","(60.0, 70.0)",588,1.464,91
"(70.0, 80.0)","(70.0, 80.0)",673,1.676,92
"(70.0, 80.0)","(80.0, 90.0)",514,1.28,93
"(70.0, 80.0)","(90.0, 100.0)",475,1.183,94
"(70.0, 80.0)","(100.0, 110.0)",283,0.705,95
"(70.0, 80.0)","(110.0, 120.0)",331,0.824,96
