x_interval,y_interval,count,percentage,Pitch_Number
"(0.0, 10.0)","(0.0, 10.0)",6,0.513,1
"(0.0, 10.0)","(10.0, 20.0)",2,0.171,2
"(0.0, 10.0)","(20.0, 30.0)",12,1.027,3
"(0.0, 10.0)","(30.0, 40.0)",12,1.027,4
"(0.0, 10.0)","(40.0, 50.0)",15,1.283,5
"(0.0, 10.0)","(50.0, 60.0)",12,1.027,6
"(0.0, 10.0)","(60.0, 70.0)",17,1.454,7
"(0.0, 10.0)","(70.0, 80.0)",21,1.796,8
"(0.0, 10.0)","(80.0, 90.0)",28,2.395,9
"(0.0, 10.0)","(90.0, 100.0)",33,2.823,10
"(0.0, 10.0)","(100.0, 110.0)",13,1.112,11
"(0.0, 10.0)","(110.0, 120.0)",7,0.599,12
"(10.0, 20.0)","(0.0, 10.0)",3,0.257,13
"(10.0, 20.0)","(10.0, 20.0)",7,0.599,14
"(10.0, 20.0)","(20.0, 30.0)",7,0.599,15
"(10.0, 20.0)","(30.0, 40.0)",11,0.941,16
"(10.0, 20.0)","(40.0, 50.0)",10,0.855,17
"(10.0, 20.0)","(50.0, 60.0)",12,1.027,18
"(10.0, 20.0)","(60.0, 70.0)",13,1.112,19
"(10.0, 20.0)","(70.0, 80.0)",12,1.027,20
"(10.0, 20.0)","(80.0, 90.0)",24,2.053,21
"(10.0, 20.0)","(90.0, 100.0)",28,2.395,22
"(10.0, 20.0)","(100.0, 110.0)",28,2.395,23
"(10.0, 20.0)","(110.0, 120.0)",21,1.796,24
"(20.0, 30.0)","(0.0, 10.0)",0,0.0,25
"(20.0, 30.0)","(10.0, 20.0)",3,0.257,26
"(20.0, 30.0)","(20.0, 30.0)",9,0.77,27
"(20.0, 30.0)","(30.0, 40.0)",11,0.941,28
"(20.0, 30.0)","(40.0, 50.0)",6,0.513,29
"(20.0, 30.0)","(50.0, 60.0)",6,0.513,30
"(20.0, 30.0)","(60.0, 70.0)",11,0.941,31
"(20.0, 30.0)","(70.0, 80.0)",10,0.855,32
"(20.0, 30.0)","(80.0, 90.0)",13,1.112,33
"(20.0, 30.0)","(90.0, 100.0)",25,2.139,34
"(20.0, 30.0)","(100.0, 110.0)",34,2.908,35
"(20.0, 30.0)","(110.0, 120.0)",26,2.224,36
"(30.0, 40.0)","(0.0, 10.0)",1,0.086,37
"(30.0, 40.0)","(10.0, 20.0)",2,0.171,38
"(30.0, 40.0)","(20.0, 30.0)",7,0.599,39
