x_interval,y_interval,count,percentage,Pitch_Number
"(0.0, 10.0)","(0.0, 10.0)",58,0.153,1
"(0.0, 10.0)","(10.0, 20.0)",174,0.46,2
"(0.0, 10.0)","(20.0, 30.0)",285,0.754,3
"(0.0, 10.0)","(30.0, 40.0)",372,0.984,4
"(0.0, 10.0)","(40.0, 50.0)",481,1.272,5
"(0.0, 10.0)","(50.0, 60.0)",556,1.471,6
"(0.0, 10.0)","(60.0, 70.0)",649,1.717,7
"(0.0, 10.0)","(70.0, 80.0)",607,1.606,8
"(0.0, 10.0)","(80.0, 90.0)",561,1.484,9
"(0.0, 10.0)","(90.0, 100.0)",472,1.249,10
"(0.0, 10.0)","(100.0, 110.0)",267,0.706,11
"(0.0, 10.0)","(110.0, 120.0)",270,0.714,12
"(10.0, 20.0)","(0.0, 10.0)",65,0.172,13
"(10.0, 20.0)","(10.0, 20.0)",145,0.384,14
"(10.0, 20.0)","(20.0, 30.0)",326,0.862,15
"(10.0, 20.0)","(30.0, 40.0)",448,1.185,16
"(10.0, 20.0)","(40.0, 50.0)",523,1.383,17
"(10.0, 20.0)","(50.0, 60.0)",686,1.815,18
"(10.0, 20.0)","(60.0, 70.0)",717,1.897,19
"(10.0, 20.0)","(70.0, 80.0)",659,1.743,20
"(10.0, 20.0)","(80.0, 90.0)",584,1.545,21
"(10.0, 20.0)","(90.0, 100.0)",406,1.074,22
"(10.0, 20.0)","(100.0, 110.0)",171,0.452,23
"(10.0, 20.0)","(110.0, 120.0)",103,0.272,24
"(20.0, 30.0)","(0.0, 10.0)",125,0.331,25
"(20.0, 30.0)","(10.0, 20.0)",297,0.786,26
"(20.0, 30.0)","(20.0, 30.0)",430,1.137,27
"(20.0, 30.0)","(30.0, 40.0)",474,1.254,28
"(20.0, 30.0)","(40.0, 50.0)",601,1.59,29
"(20.0, 30.0)","(50.0, 60.0)",702,1.857,30
"(20.0, 30.0)","(60.0, 70.0)",726,1.92,31
"(20.0, 30.0)","(70.0, 80.0)",633,1.674,32
"(20.0, 30.0)","(80.0, 90.0)",537,1.42,33
"(20.0, 30.0)","(90.0, 100.0)",414,1.095,34
"(20.0, 30.0)","(100.0, 110.0)",176,0.466,35
"(20.0, 30.0)","(110.0, 120.0)",146,0.386,36
"(30.0, 40.0)","(0.0, 10.0)",482,1.275,37
"(30.0, 40.0)","(10.0, 20.0)",339,0.897,38
"(30.0, 40.0)","(20.0, 30.0)",325,0.86,39
"(30.0, 40.0)","(30.0, 40.0)",365,0.965,40
"(30.0, 40.0)","(40.0, 50.0)",546,1.444,41
"(30.0, 40.0)","(50.0, 60.0)",718,1.899,42
"(30.0, 40.0)","(60.0, 70.0)",726,1.92,43
"(30.0, 40.0)","(70.0, 80.0)",509,1.346,44
"(30.0, 40.0)","(80.0, 90.0)",402,1.063,45
"(30.0, 40.0)","(90.0, 100.0)",229,0.606,46
"(30.0, 40.0)","(100.0, 110.0)",52,0.138,47
"(30.0, 40.0)","(110.0, 120.0)",19,0.05,48
"(40.0, 50.0)","(0.0, 10.0)",544,1.439,49
"(40.0, 50.0)","(10.0, 20.0)",441,1.167,50
"(40.0, 50.0)","(20.0, 30.0)",356,0.942,51
"(40.0, 50.0)","(30.0, 40.0)",390,1.032,52
"(40.0, 50.0)","(40.0, 50.0)",536,1.418,53
"(40.0, 50.0)","(50.0, 60.0)",742,1.963,54
"(40.0, 50.0)","(60.0, 70.0)",787,2.082,55
"(40.0, 50.0)","(70.0, 80.0)",439,1.161,56
"(40.0, 50.0)","(80.0, 90.0)",326,0.862,57
"(40.0, 50.0)","(90.0, 100.0)",198,0.524,58
"(40.0, 50.0)","(100.0, 110.0)",57,0.151,59
"(40.0, 50.0)","(110.0, 120.0)",7,0.019,60
"(50.0, 60.0)","(0.0, 10.0)",149,0.394,61
