,Foul Committed,Ball Recovery,Clearance,Dribble,Shot,Pass,Interception,Block,Carry,Goal Keeper
Foul Committed,0.000,0.000,0.000,0.000,0.091,0.727,0.000,0.000,0.182,0.000
Ball Recovery,0.018,0.018,0.018,0.036,0.036,0.491,0.000,0.000,0.382,0.000
Clearance,0.050,0.150,0.100,0.000,0.000,0.400,0.000,0.050,0.250,0.000
Dribble,0.000,0.095,0.000,0.000,0.000,0.286,0.000,0.000,0.619,0.000
Shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.909
Pass,0.003,0.012,0.025,0.000,0.005,0.191,0.020,0.021,0.720,0.003
Interception,0.000,0.188,0.000,0.000,0.063,0.313,0.000,0.000,0.438,0.000
Block,0.000,0.333,0.133,0.000,0.000,0.400,0.000,0.000,0.067,0.067
Carry,0.014,0.064,0.000,0.038,0.008,0.841,0.008,0.000,0.028,0.000
Goal Keeper,0.000,0.154,0.000,0.000,0.000,0.769,0.000,0.000,0.077,0.000
